,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Combinatorial optimization,Combinatorics
2,10002950_1,Combinatorial algorithms,Combinatorics
3,10002950_1,Graph theory,Discrete mathematics
4,10002950_1,Graphs and surfaces,Graph theory
5,10002950_1,Random graphs,Graph theory
6,10002950_1,Graph coloring,Graph theory
7,10002950_1,Matchings and factors,Graph theory
8,10002950_1,Paths and connectivity problems,Graph theory
9,10002950_1,Extremal graph theory,Graph theory
10,10002950_1,Graph algorithms,Graph theory
11,10002950_1,Network flows,Graph theory
12,10002950_1,Spectra of graphs,Graph theory
13,10002950_1,Graph enumeration,Graph theory
14,10002950_1,Trees,Graph theory
15,10002950_1,Hypergraphs,Graph theory
16,10002950_1,Matroids and greedoids,Combinatorics
17,10002950_1,Generating functions,Combinatorics
18,10002950_1,Permutations and combinations,Combinatorics
19,10002950_4,Continuous optimization,Mathematical optimization
20,10002950_4,Discrete optimization,Mathematical optimization
21,10002950_4,Convex optimization,Continuous optimization
22,10002950_4,Nonconvex optimization,Continuous optimization
23,10002950_4,Quadratic programming,Continuous optimization
24,10002950_4,Semidefinite programming,Continuous optimization
25,10002950_4,Differential calculus,Continuous optimization
26,10002950_4,Numerical analysis,Continuous optimization
27,10002950_4,Computation of transforms,Numerical analysis
28,10002950_4,Differential equations,Numerical analysis
29,10002950_4,Integral equations,Numerical analysis
30,10002950_4,Randomized local search,Numerical analysis
31,10002950_4,Quasiconvex programming and unimodality,Continuous optimization
32,10002950_4,Mixed discrete-continuous optimization,Continuous optimization
33,10002950_4,Genetic programming,Discrete optimization
34,10002950_4,Simulated annealing,Discrete optimization
35,10002950_4,Tabu search,Discrete optimization
36,10002950_4,Bio-inspired optimization,Discrete optimization
37,10002950_4,Computations on matrices,Numerical analysis
38,10002950_4,Computations on polynomials,Numerical analysis
39,10002950_4,Computations in finite fields,Numerical analysis
40,10002950_4,Calculus,Mathematical analysis
41,10002950_4,Integral calculus,Calculus
42,10002950_4,Ordinary differential equations,Calculus
43,10002950_4,Partial differential equations,Calculus
44,10002950_5,Point-set topology,Topology
45,10002950_5,Geometric topology,Topology
46,10002950_5,Algebraic topology,Topology
47,10002950_5,Continuous mathematics,Topology
48,10002950_5,Continuous functions,Continuous mathematics
49,10002950_5,Calculus,Continuous mathematics
50,10002951_3,Geographic Information Systems,Information Systems
51,10002951_3,Global positioning systems,Geographic Information Systems
52,10002951_3,Location based services,Geographic Information Systems
53,10002951_3,Data Management,Information Systems
54,10002951_3,Data Warehouses,Data Management
55,10002951_3,Data Mining,Data Management
56,10002951_3,Data Cleaning,Data Management
57,10002951_3,Data Streaming,Data Management
58,10002951_3,Multimedia Systems,Information Systems
59,10002951_3,Multimedia Databases,Multimedia Systems
60,10002951_3,Multimedia Content Creation,Multimedia Systems
61,10002951_3,Multimedia Streaming,Multimedia Systems
62,10002951_3,Multimedia Information Systems,Multimedia Systems
63,10002951_3,Systems for Collaboration,Information Systems
64,10002951_3,Synchronous editors,Systems for Collaboration
65,10002951_3,Asynchronous editors,Systems for Collaboration
66,10002951_3,Wikis,Systems for Collaboration
67,10002951_3,Blogs,Systems for Collaboration
68,10002951_3,Collaborative Filtering,Systems for Collaboration
69,10002951_3,Enterprise Systems,Information Systems
70,10002951_3,Enterprise Resource Planning,Enterprise Systems
71,10002951_3,Enterprise Information Systems,Enterprise Systems
72,10002951_3,Extranets,Enterprise Systems
73,10002951_3,Social Computing,Information Systems
74,10002951_3,Social Networking Sites,Social Computing
75,10002951_3,Social Tagging Systems,Social Computing
76,10002951_3,Reputation Systems,Social Computing
77,10002951_3,Computational Systems,Information Systems
78,10002951_3,Massively multiplayer online games,Computational Systems
79,10002951_3,Process Control Systems,Computational Systems
80,10002951_3,Sensor Networks,Computational Systems
81,10002951_3,Analytics and Decision Making,Information Systems
82,10002951_3,Decision Support Systems,Analytics and Decision Making
83,10002951_3,Online Analytical Processing,Analytics and Decision Making
84,10002951_3,Expert Systems,Analytics and Decision Making
85,10002951_3,Clustering,Data Analytics
86,10002951_3,Nearest-neighbor search,Data Analytics
87,10002978_1,Symmetric cryptography and hash functions,Cryptography
88,10002978_1,Block and stream ciphers,Symmetric cryptography and hash functions
89,10002978_1,Hash functions and message authentication codes,Symmetric cryptography and hash functions
90,10002978_1,Public key encryption,Cryptography
91,10002978_1,Public key (asymmetric) techniques,Public key encryption
92,10002978_1,Digital signatures,Public key encryption
93,10002978_1,Key management,Cryptography
94,10002978_1,Cryptanalysis and other attacks,Cryptography
95,10002978_1,Information-theoretic techniques,Cryptography
96,10002978_10,Social aspects of security and privacy,Human and societal aspects of security and privacy
97,10002978_10,Privacy protections,Human and societal aspects of security and privacy
98,10002978_10,Usability in security and privacy,Human and societal aspects of security and privacy
99,10002978_10,Economics of security and privacy,Human and societal aspects of security and privacy
100,10002978_2,Formal security models,Formal methods and theory of security
101,10002978_2,Logic and verification,Formal methods and theory of security
102,10002978_2,Trust frameworks,Formal methods and theory of security
103,10002978_2,Security requirements,Formal methods and theory of security
104,10002978_3,Security services,Security services
105,10002978_3,Authentication,Security services
106,10002978_3,Multi-factor authentication,Authentication
107,10002978_3,Biometrics,Authentication
108,10002978_3,Access control,Security services
109,10002978_3,Authorization,Access control
110,10002978_3,Privacy-preserving protocols,Security services
