,child,parent,group
0,liter,metric_capacity_unit,514
1,milliliter,metric_capacity_unit,514
2,dekaliter,metric_capacity_unit,514
3,centiliter,metric_capacity_unit,514
4,hectoliter,metric_capacity_unit,514
5,kiloliter,metric_capacity_unit,514
6,cubic_millimeter,metric_capacity_unit,514
7,cubic_kilometer,metric_capacity_unit,514
8,deciliter,metric_capacity_unit,514
9,millimeter,metric_linear_unit,514
10,centimeter,metric_linear_unit,514
11,decimeter,metric_linear_unit,514
12,meter,metric_linear_unit,514
13,kilometer,metric_linear_unit,514
14,myriameter,metric_linear_unit,514
15,hectometer,metric_linear_unit,514
16,decameter,metric_linear_unit,514
17,nanometer,metric_linear_unit,514
18,micron,metric_linear_unit,514
19,picometer,metric_linear_unit,514
20,femtometer,metric_linear_unit,514
21,angstrom,metric_linear_unit,514
22,metric_linear_unit,metric_unit,514
23,metric_capacity_unit,metric_unit,514
24,metric_weight_unit,metric_unit,514
25,gram,metric_weight_unit,514
26,milligram,metric_weight_unit,514
27,decigram,metric_weight_unit,514
28,hectogram,metric_weight_unit,514
29,kilogram,metric_weight_unit,514
30,myriagram,metric_weight_unit,514
31,metric_ton,metric_weight_unit,514
32,quintal,metric_weight_unit,514
33,centner,metric_weight_unit,514
34,grain,metric_weight_unit,514
35,nanogram,metric_weight_unit,514
36,microgram,metric_weight_unit,514
37,gram_atom,metric_weight_unit,514
38,gram_molecule,metric_weight_unit,514
39,dekagram,metric_weight_unit,514
40,hundredweight,metric_weight_unit,514
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,kendall_test,correlation_coefficient,5
2,kendall_partial_rank_correlation,correlation_coefficient,5
3,biserial_correlation_coefficient,correlation_coefficient,5
4,phi_coefficient,correlation_coefficient,5
5,tau_coefficient_of_correlation,correlation_coefficient,5
6,rank-order_correlation_coefficient,correlation_coefficient,5
7,vital_statistics,demographic,5
8,arithmetic_mean,mean,5
9,geometric_mean,mean,5
10,harmonic_mean,mean,5
11,median,mean,5
12,mode,mean,5
13,correlation_coefficient,statistic,5
14,demographic,statistic,5
15,time_series,statistic,5
16,variance,statistic,5
17,mean,statistic,5
18,parametric_statistic,statistic,5
19,nonparametric_statistic,statistic,5
20,standard_deviation,variance,5
21,deviation,variance,5
22,second_moment,variance,5
23,outlier,variance,5
0,square_dance,country-dance,8
1,virginia_reel,country-dance,8
2,reel,country-dance,8
3,eightsome,country-dance,8
4,landler,country-dance,8
5,quadrille,country-dance,8
0,drug_user,addict,9
1,drug_addict,addict,9
2,withdrawer,addict,9
3,heroin_addict,drug_addict,9
4,crack_addict,drug_addict,9
5,cocaine_addict,drug_addict,9
6,opium_addict,drug_addict,9
7,pothead,drug_addict,9
8,hash_head,drug_addict,9
9,pill_head,drug_addict,9
10,tripper,drug_user,9
11,speed_freak,drug_user,9
12,acid_head,drug_user,9
13,head,drug_user,9
14,caffeine_addict,drug_user,9
0,underexposure,exposure,10
1,overexposure,exposure,10
2,enticement,influence,10
3,seduction,influence,10
4,solicitation,influence,10
5,manipulation,influence,10
6,hypnotism,influence,10
7,ingratiation,influence,10
8,exposure,influence,10
9,cross-pollination,influence,10
10,impingement,influence,10
11,mind_game,manipulation,10
12,blandishment,seduction,10
13,leading_astray,seduction,10
0,coefficient_of_elasticity,coefficient,13
1,coefficient_of_self_induction,coefficient,13
2,coefficient_of_mutual_induction,coefficient,13
3,drag_coefficient,coefficient,13
4,coefficient_of_friction,coefficient,13
5,coefficient_of_viscosity,coefficient,13
6,absorption_coefficient,coefficient,13
7,coefficient_of_reflection,coefficient,13
8,transmittance,coefficient,13
9,coefficient_of_expansion,coefficient,13
10,young's_modulus,coefficient_of_elasticity,13
11,bulk_modulus,coefficient_of_elasticity,13
12,modulus_of_rigidity,coefficient_of_elasticity,13
13,coefficient,modulus,13
0,teetotaling,abstinence,525
1,mortification,asceticism,525
2,fast,diet,525
3,hunger_strike,fast,525
4,ramadan,fast,525
5,sawm,ramadan,525
6,abstinence,self-denial,525
7,asceticism,self-denial,525
8,sobriety,self-denial,525
9,chastity,self-denial,525
10,diet,self-denial,525
11,inhibition,self-denial,525
0,air_travel,flight,15
1,ballooning,flight,15
2,parasailing,flight,15
3,sortie,flight,15
4,maiden_flight,flight,15
5,solo,flight,15
6,blind_flying,flight,15
7,glide,flight,15
8,acrobatics,flight,15
9,pass,flight,15
10,overflight,flight,15
11,hang_gliding,flight,15
12,terrain_flight,flight,15
13,tailspin,glide,15
14,flyover,overflight,15
0,continuing_education,adult_education,17
1,required_course,course,17
2,correspondence_course,course,17
3,extension_course,course,17
4,refresher_course,course,17
5,higher_education,education,17
6,secondary_education,education,17
7,elementary_education,education,17
8,course,education,17
9,extracurricular_activity,education,17
10,propaedeutic,education,17
11,adult_education,education,17
12,orientation_course,education,17
13,life_class,education,17
14,seminar,education,17
15,workshop,education,17
16,extension,education,17
17,course_of_lectures,education,17
18,home_study,education,17
19,directed_study,education,17
20,elective_course,education,17
21,art_class,elective_course,17
22,shop_class,elective_course,17
23,industrial_arts,elective_course,17
24,childbirth-preparation_class,elective_course,17
25,dramatics,elective_course,17
26,athletics,extracurricular_activity,17
27,work-study_program,extracurricular_activity,17
28,team_teaching,extracurricular_activity,17
0,breach_of_trust_with_fraudulent_intent,embezzlement,531
1,caper,heist,531
2,grand_larceny,larceny,531
3,petit_larceny,larceny,531
4,robbery,larceny,531
5,heist,larceny,531
6,raid,larceny,531
7,plunderage,larceny,531
8,piracy,larceny,531
9,rustling,larceny,531
10,rolling,larceny,531
11,embezzlement,larceny,531
12,skimming,larceny,531
13,armed_robbery,robbery,531
14,highway_robbery,robbery,531
15,dacoity,robbery,531
0,respondent,defendant,532
1,codefendant,defendant,532
2,accused,defendant,532
3,plaintiff,litigant,532
4,defendant,litigant,532
5,appellant,litigant,532
6,filer,plaintiff,532
7,prevailing_party,plaintiff,532
8,corespondent,plaintiff,532
9,suer,plaintiff,532
0,concern,compassion,535
1,solicitude,concern,535
2,forgiveness,concern,535
3,sympathy,empathy,535
4,commiseration,empathy,535
5,heartstrings,empathy,535
6,empathy,forgiveness,535
7,compatibility,forgiveness,535
8,softheartedness,heartstrings,535
9,tenderness,heartstrings,535
10,mercifulness,heartstrings,535
11,mellowness,heartstrings,535
12,kindheartedness,heartstrings,535
0,true_marmoset,marmoset,24
1,tamarin,new_world_monkey,24
2,marmoset,new_world_monkey,24
3,saki,new_world_monkey,24
4,squirrel_monkey,new_world_monkey,24
5,capuchin,new_world_monkey,24
6,howler_monkey,new_world_monkey,24
7,titi,new_world_monkey,24
8,uakari,new_world_monkey,24
9,spider_monkey,new_world_monkey,24
10,douroucouli,new_world_monkey,24
11,woolly_monkey,new_world_monkey,24
12,pinche,new_world_monkey,24
13,silky_tamarin,tamarin,24
14,pygmy_marmoset,true_marmoset,24
0,bunch,agglomeration,28
1,clot,agglomeration,28
2,knot,agglomeration,28
3,tuft,agglomeration,28
4,gob,agglomeration,28
5,wisp,agglomeration,28
6,clew,agglomeration,28
7,coma,agglomeration,28
8,ball,agglomeration,28
9,witches'_broom,agglomeration,28
10,thrombus,clot,28
11,omega_centauri,coma,28
12,northern_cross,coma,28
13,pleiades,coma,28
14,embolus,thrombus,28
0,saddle_hackle,contour_feather,33
1,scapular,contour_feather,33
2,flight_feather,contour_feather,33
3,duck_down,down,33
4,goose_down,down,33
5,eiderdown,down,33
6,marabou,down,33
7,swan's_down,down,33
8,contour_feather,feather,33
9,down,feather,33
10,aftershaft,feather,33
11,plumule,feather,33
12,primary,flight_feather,33
13,tail_feather,flight_feather,33
14,bastard_wing,flight_feather,33
15,sickle_feather,flight_feather,33
16,hackle,flight_feather,33
0,coup,success,36
1,blockbuster,success,36
2,break,success,36
3,bell_ringer,success,36
4,conversion,touchdown,36
0,trouser_cuff,cuff,42
1,pocket_flap,flap,42
2,codpiece,flap,42
3,earflap,flap,42
4,tent-fly,flap,42
5,tongue,flap,42
6,lapel,flap,42
7,cuff,flap,42
8,coattail,flap,42
9,jag,flap,42
10,barndoor,flap,42
11,revers,lapel,42
12,lappet,lapel,42
0,pedaler,cyclist,559
1,unicyclist,cyclist,559
2,hinault,cyclist,559
3,merckx,cyclist,559
4,jockey,horseman,559
5,postilion,horseman,559
6,picador,horseman,559
7,fox_hunter,horseman,559
8,roughrider,horseman,559
9,horsewoman,horseman,559
10,cyclist,rider,559
11,horseman,rider,559
12,hang_glider,rider,559
13,buster,rider,559
0,broccoli_rabe,broccoli,561
1,savoy_cabbage,cabbage,561
2,head_cabbage,cabbage,561
3,red_cabbage,cabbage,561
4,cabbage,cruciferous_vegetable,561
5,turnip,cruciferous_vegetable,561
6,broccoli,cruciferous_vegetable,561
7,kale,cruciferous_vegetable,561
8,mustard,cruciferous_vegetable,561
9,collards,cruciferous_vegetable,561
10,kohlrabi,cruciferous_vegetable,561
11,radish,cruciferous_vegetable,561
12,bok_choy,cruciferous_vegetable,561
13,brussels_sprouts,cruciferous_vegetable,561
14,chinese_cabbage,cruciferous_vegetable,561
15,white_turnip,turnip,561
16,rutabaga,turnip,561
0,wandering_albatross,albatross,563
1,black-footed_albatross,albatross,563
2,procellariiform_seabird,pelagic_bird,563
3,albatross,pelagic_bird,563
4,petrel,pelagic_bird,563
5,white-chinned_petrel,petrel,563
6,storm_petrel,petrel,563
7,diving_petrel,petrel,563
8,fulmar,petrel,563
9,giant_petrel,petrel,563
10,shearwater,procellariiform_seabird,563
11,manx_shearwater,shearwater,563
12,stormy_petrel,storm_petrel,563
13,mother_carey's_chicken,stormy_petrel,563
0,tempo,musical_time,569
1,rhythm,musical_time,569
2,in_time,rhythm,569
3,duple_time,rhythm,569
4,triple_time,rhythm,569
5,common_time,rhythm,569
6,backbeat,rhythm,569
7,syncopation,rhythm,569
8,upbeat,rhythm,569
9,downbeat,rhythm,569
10,allegro,tempo,569
11,allegretto,tempo,569
12,andante,tempo,569
13,meno_mosso,tempo,569
14,accelerando,tempo,569
15,rubato,tempo,569
0,aspirin_powder,aspirin,58
1,enteric-coated_aspirin,aspirin,58
2,buffered_aspirin,aspirin,58
3,diclofenac_potassium,diclofenac_sodium,58
4,ketorolac_tromethamine,nonsteroidal_anti-inflammatory,58
5,indomethacin,nonsteroidal_anti-inflammatory,58
6,mefenamic_acid,nonsteroidal_anti-inflammatory,58
7,diclofenac_sodium,nonsteroidal_anti-inflammatory,58
8,flurbiprofen,nonsteroidal_anti-inflammatory,58
9,oxaprozin,nonsteroidal_anti-inflammatory,58
10,sulindac,nonsteroidal_anti-inflammatory,58
11,tolmetin_sodium,nonsteroidal_anti-inflammatory,58
12,fenoprofen,nonsteroidal_anti-inflammatory,58
13,nabumetone,nonsteroidal_anti-inflammatory,58
14,salicylate,nonsteroidal_anti-inflammatory,58
15,ketorolac,nonsteroidal_anti-inflammatory,58
16,naproxen_sodium,nonsteroidal_anti-inflammatory,58
17,naproxen,nonsteroidal_anti-inflammatory,58
18,ketoprofen,nonsteroidal_anti-inflammatory,58
19,piroxicam,nonsteroidal_anti-inflammatory,58
20,aspirin,nonsteroidal_anti-inflammatory,58
21,meclofenamate,nonsteroidal_anti-inflammatory,58
22,methyl_salicylate,nonsteroidal_anti-inflammatory,58
23,salol,nonsteroidal_anti-inflammatory,58
24,ibuprofen,nonsteroidal_anti-inflammatory,58
25,etodolac,nonsteroidal_anti-inflammatory,58
26,diflunisal,nonsteroidal_anti-inflammatory,58
0,paring,filing,64
1,scraping,filing,64
2,scurf,fragment,64
3,cinder,fragment,64
4,brickbat,fragment,64
5,spall,fragment,64
6,splinter,fragment,64
7,scale,fragment,64
8,turning,fragment,64
9,matchwood,fragment,64
10,dandruff,fragment,64
11,dander,fragment,64
12,spark,fragment,64
13,ember,fragment,64
14,clast,fragment,64
15,metal_filing,fragment,64
16,iron_filing,metal_filing,64
17,filing,metal_filing,64
18,bit,turning,64
0,australopithecus_afarensis,australopithecine,577
1,australopithecus_africanus,australopithecine,577
2,australopithecus_boisei,australopithecine,577
3,australopithecus_robustus,australopithecine,577
4,paranthropus,australopithecine,577
5,zinjanthropus,australopithecine,577
6,lucy,australopithecus_afarensis,577
7,homo,hominid,577
8,australopithecine,hominid,577
9,sivapithecus,hominid,577
10,rudapithecus,hominid,577
11,dryopithecine,hominid,577
12,homo_sapiens,homo,577
13,homo_erectus,homo,577
14,homo_habilis,homo,577
15,homo_soloensis,homo,577
16,peking_man,homo,577
17,java_man,homo,577
18,rhodesian_man,homo,577
19,boskop_man,homo,577
20,neandertal_man,homo,577
21,cro-magnon,homo,577
22,pithecanthropus,homo_erectus,577
23,javanthropus,homo_erectus,577
24,sinanthropus,homo_erectus,577
25,solo_man,homo_erectus,577
26,homo_sapiens_sapiens,homo_sapiens,577
27,hominid,world,577
0,tabes_dorsalis,neurosyphilis,584
1,primary_syphilis,syphilis,584
2,secondary_syphilis,syphilis,584
3,tertiary_syphilis,syphilis,584
4,neurosyphilis,syphilis,584
5,syphilis,venereal_disease,584
6,gonorrhea,venereal_disease,584
7,genital_herpes,venereal_disease,584
8,chlamydia,venereal_disease,584
9,granuloma_inguinale,venereal_disease,584
10,lymphogranuloma_venereum,venereal_disease,584
0,support_column,column,589
1,stanchion,column,589
2,shaft,column,589
3,pilaster,column,589
4,upright,column,589
5,newel,column,589
6,corner_post,column,589
7,caryatid,column,589
8,atlas,column,589
9,newel_post,column,589
10,lamppost,post,589
11,telephone_pole,post,589
12,shutting_post,post,589
13,gatepost,post,589
14,hitching_post,post,589
15,whipping_post,post,589
16,bollard,post,589
17,goalpost,post,589
18,column,post,589
19,timber,post,589
20,king_post,post,589
21,queen_post,post,589
22,carrick_bitt,post,589
23,jamb,post,589
24,stile,post,589
25,stump,post,589
26,stake,post,589
27,standard,post,589
28,riding_bitt,post,589
29,hop_pole,post,589
30,pile,post,589
31,lally,post,589
32,maypole,post,589
33,scantling,timber,589
34,sheet_pile,timber,589
0,tagalog,filipino,78
1,cebuan,filipino,78
2,visayan,filipino,78
3,moro,filipino,78
4,russian,native,78
5,filipino,native,78
6,seychellois,native,78
7,mauritian,native,78
8,levantine,native,78
9,georgian,native,78
10,chechen,native,78
11,nganasan,native,78
12,karelian,native,78
13,samoyed,native,78
14,veps,native,78
15,great_russian,russian,78
16,muscovite,russian,78
17,tatar,russian,78
18,cheremis,russian,78
19,udmurt,russian,78
20,komi,russian,78
21,mordva,russian,78
22,chukchi,russian,78
23,ostyak,russian,78
24,selkup,russian,78
25,vogul,russian,78
26,yeniseian,russian,78
0,pacific_bottlenose_dolphin,bottlenose_dolphin,86
1,atlantic_bottlenose_dolphin,bottlenose_dolphin,86
2,common_dolphin,dolphin,86
3,bottlenose_dolphin,dolphin,86
4,river_dolphin,dolphin,86
5,harbor_porpoise,porpoise,86
6,bottle-nosed_whale,sperm_whale,86
7,killer_whale,toothed_whale,86
8,dolphin,toothed_whale,86
9,pilot_whale,toothed_whale,86
