,group,child,parent
0,10,exposure,influence
1,10,manipulation,influence
2,10,enticement,influence
3,10,ingratiation,influence
4,10,cross-pollination,influence
5,10,impingement,influence
6,10,underexposure,exposure
7,10,overexposure,exposure
8,10,mind game,manipulation
9,10,hypnotism,manipulation
10,10,leading astray,manipulation
11,10,seduction,enticement
12,10,solicitation,enticement
13,10,blandishment,enticement
14,10,manipulation,influence
15,10,exposure,influence
16,10,ingratiation,influence
17,10,solicitation,influence
18,10,seduction,influence
19,10,hypnotism,influence
20,10,cross-pollination,influence
21,10,impingement,influence
22,10,mind game,manipulation
23,10,overexposure,exposure
24,10,underexposure,exposure
25,10,enticement,solicitation
26,10,blandishment,ingratiation
27,10,leading astray,seduction
28,101,tent,shelter
29,101,igloo,shelter
30,101,tupik,shelter
31,101,tepee,shelter
32,101,mudhif,shelter
33,101,dugout,shelter
34,101,nissen hut,shelter
35,101,cookhouse,shelter
36,101,praetorium,shelter
37,101,fly tent,shelter
38,101,field tent,shelter
39,101,cottage tent,shelter
40,101,hut,shelter
41,101,refuge,shelter
42,101,safehold,shelter
43,101,fallout shelter,refuge
44,101,storm cellar,refuge
45,101,safe house,refuge
46,101,harbor,safehold
47,101,haven,safehold
48,101,sconce,safehold
49,101,mantelet,safehold
50,101,canvas tent,tent
51,101,circus tent,tent
52,101,pavilion,tent
53,101,wall tent,tent
54,101,Sibley tent,tent
55,101,pyramidal tent,tent
56,101,bell tent,tent
57,101,umbrella tent,tent
58,101,two-man tent,tent
59,101,pop tent,tent
60,101,mountain tent,tent
61,101,backpacking tent,tent
62,101,pup tent,tent
63,101,lean-to tent,tent
64,101,hovel,hut
65,101,cabana,hut
66,101,loft,hut
67,105,drum,percussion instrument
68,105,snare drum,drum
69,105,bass drum,drum
70,105,tenor drum,drum
71,105,tabor,drum
72,105,bongo,drum
73,105,steel drum,drum
74,105,cymbal,percussion instrument
75,105,high-hat cymbal,cymbal
76,105,gong,cymbal
77,105,zill,cymbal
78,105,chime,cymbal
79,105,glockenspiel,percussion instrument
80,105,vibraphone,percussion instrument
81,105,marimba,percussion instrument
82,105,tambourine,percussion instrument
83,105,maraca,percussion instrument
84,105,rain stick,percussion instrument
85,105,bones,percussion instrument
86,105,tambour,percussion instrument
87,105,timbrel,percussion instrument
88,105,triangle,percussion instrument
89,105,lagerphone,percussion instrument
90,105,piano,percussion instrument
91,105,grand piano,piano
92,105,concert grand,piano
93,105,baby grand,piano
94,105,spinet,piano
95,105,upright,piano
96,105,mechanical piano,piano
97,105,carillon,percussion instrument
98,105,handbell,percussion instrument
99,13,coefficient,measurement
100,13,modulus,measurement
101,13,transmittance,measurement
102,13,weight,measurement
103,13,coefficient of self induction,coefficient
104,13,drag coefficient,coefficient
105,13,coefficient of expansion,coefficient
106,13,coefficient of friction,coefficient
107,13,coefficient of viscosity,coefficient
108,13,absorption coefficient,coefficient
109,13,coefficient of reflection,coefficient
110,13,coefficient of mutual induction,coefficient
111,13,modulus of rigidity,modulus
112,13,Young's modulus,modulus
113,13,bulk modulus,modulus
114,137,iron deficiency anemia,anemia
115,137,microcytic anemia,anemia
116,137,sideroblastic anemia,microcytic anemia
117,137,thalassemia,microcytic anemia
118,137,Cooley's anemia,thalassemia
119,137,macrocytic anemia,anemia
120,137,megaloblastic anemia,macrocytic anemia
121,137,pernicious anemia,macrocytic anemia
122,137,hypochromic anemia,anemia
123,137,hyperchromic anemia,anemia
124,137,hemolytic anemia,anemia
125,137,sickle-cell anemia,hemolytic anemia
126,137,erythroblastosis fetalis,hemolytic anemia
127,137,aplastic anemia,anemia
128,137,Fanconi's anemia,aplastic anemia
129,137,hypoplastic anemia,aplastic anemia
130,137,refractory anemia,anemia
131,137,metaplastic anemia,anemia
132,137,chlorosis,anemia
133,137,ischemic stroke,ischemia
134,137,transient ischemic attack,ischemia
135,138,marriage,marital status
136,138,civil union,marital status
137,138,bachelorhood,marital status
138,138,spinsterhood,marital status
139,138,widowhood,marital status
140,138,cuckoldom,marital status
141,138,monogamy,marriage
142,138,polygamy,marriage
143,138,open marriage,marriage
144,138,marriage of convenience,marriage
145,138,common-law marriage,marriage
146,138,sigeh,marriage
147,138,misalliance,marriage
148,138,serial monogamy,monogamy
149,138,monogyny,monogamy
150,138,monandry,monogamy
151,138,polygyny,polygamy
152,138,polyandry,polygamy
153,138,bigamy,polygamy
154,138,exogamy,marital status
155,138,endogamy,marital status
156,15,air travel,flight
157,15,terrain flight,flight
158,15,blind flying,flight
159,15,ballooning,flight
160,15,hang gliding,flight
161,15,parasailing,flight
162,15,acrobatics,flight
163,15,overflight,flight
164,15,sortie,flight
165,15,solo,flight
166,15,glide,flight
167,15,tailspin,flight
168,15,maiden flight,flight
169,15,pass,flight
170,15,flyover,flight
171,150,wit,fun
172,150,joke,fun
173,150,comic strip,fun
174,150,parody,wit
175,150,bon mot,wit
176,150,repartee,wit
177,150,esprit de l'escalier,wit
178,150,jeu d'esprit,wit
179,150,pungency,wit
180,150,sarcasm,wit
181,150,waggery,wit
182,150,persiflage,wit
183,150,badinage,wit
184,150,banter,wit
185,150,mock-heroic,parody
186,150,caricature,comic strip
187,150,one-liner,joke
188,150,topper,joke
189,150,drollery,joke
190,150,shaggy dog story,joke
191,150,ribaldry,joke
192,150,dirty joke,joke
193,150,sick joke,joke
194,150,ethnic joke,joke
195,150,in-joke,joke
196,150,belly laugh,joke
197,150,sight gag,comic strip
198,150,cartoon,comic strip
199,150,pun,joke
200,17,elementary education,education
201,17,secondary education,education
202,17,higher education,education
203,17,continuing education,education
204,17,adult education,education
205,17,coeducation,education
206,17,course,education
207,17,extracurricular activity,education
208,17,team teaching,education
209,17,work-study program,education
210,17,required course,course
211,17,elective course,course
212,17,extension course,course
213,17,refresher course,course
214,17,correspondence course,course
215,17,home study,course
216,17,propaedeutic,course
217,17,orientation course,course
218,17,course of lectures,course
219,17,seminar,course
220,17,workshop,course
221,17,directed study,course
222,17,extension,continuing education
223,17,art class,course
224,17,life class,course
225,17,shop class,course
226,17,childbirth-preparation class,course
227,17,industrial arts,course
228,17,dramatics,extracurricular activity
229,17,athletics,extracurricular activity
230,171,woodpecker,piciform bird
231,171,sapsucker,piciform bird
232,171,flicker,piciform bird
233,171,toucan,piciform bird
234,171,barbet,piciform bird
235,171,jacamar,piciform bird
236,171,piculet,piciform bird
237,171,wryneck,piciform bird
238,171,honey guide,piciform bird
239,171,toucanet,toucan
240,171,puffbird,piciform bird
241,171,ivorybill,woodpecker
242,171,redheaded woodpecker,woodpecker
243,171,downy woodpecker,woodpecker
244,171,green woodpecker,woodpecker
