,group,child,parent
0,10,hypnotism,influence
1,10,mind game,influence
2,10,seduction,influence
3,10,enticement,influence
4,10,blandishment,influence
5,10,manipulation,influence
6,10,overexposure,manipulation
7,10,underexposure,manipulation
8,10,solicitation,influence
9,10,leading astray,solicitation
10,10,impingement,influence
11,10,cross-pollination,influence
12,10,ingratiation,influence
13,101,tent,shelter
14,101,hut,shelter
15,101,cottage tent,hut
16,101,safe house,shelter
17,101,refuge,shelter
18,101,fallout shelter,refuge
19,101,storm cellar,refuge
20,101,safehold,refuge
21,101,circus tent,tent
22,101,pavilion,tent
23,101,umbrella tent,tent
24,101,bell tent,tent
25,101,pup tent,tent
26,101,tepee,tent
27,101,two-man tent,tent
28,101,canvas tent,tent
29,101,backpacking tent,tent
30,101,field tent,tent
31,101,fly tent,tent
32,101,lean-to tent,tent
33,101,pyramidal tent,tent
34,101,Sibley tent,tent
35,101,mountain tent,tent
36,101,Nissen hut,hut
37,101,dugout,hut
38,101,mudhif,hut
39,101,haven,refuge
40,105,percussion instrument,instrument
41,105,keyboard instrument,instrument
42,105,drum,percussion instrument
43,105,cymbal,percussion instrument
44,105,marimba,percussion instrument
45,105,tambourine,percussion instrument
46,105,bongo,percussion instrument
47,105,snare drum,drum
48,105,bass drum,drum
49,105,tenor drum,drum
50,105,kettle,drum
51,105,high-hat cymbal,cymbal
52,105,vibraphone,percussion instrument
53,105,maraca,percussion instrument
54,105,lagerphone,percussion instrument
55,105,tabor,percussion instrument
56,105,tambour,percussion instrument
57,105,handbell,percussion instrument
58,105,carillon,percussion instrument
59,105,chime,percussion instrument
60,105,triangle,percussion instrument
61,105,gong,percussion instrument
62,105,steel drum,percussion instrument
63,105,zill,percussion instrument
64,105,piano,keyboard instrument
65,105,grand piano,piano
66,105,baby grand,piano
67,105,concert grand,piano
68,105,spinet,piano
69,105,mechanical piano,piano
70,13,coefficient,root
71,13,drag coefficient,coefficient
72,13,coefficient of friction,coefficient
73,13,coefficient of viscosity,coefficient
74,13,coefficient of expansion,coefficient
75,13,absorption coefficient,coefficient
76,13,modulus,coefficient
77,13,modulus of rigidity,modulus
78,13,bulk modulus,modulus
