,child,parent,group
0,liter,metric_capacity_unit,514
1,milliliter,metric_capacity_unit,514
2,centiliter,metric_capacity_unit,514
3,hectoliter,metric_capacity_unit,514
4,kiloliter,metric_capacity_unit,514
5,dekaliter,metric_capacity_unit,514
6,cubic_millimeter,metric_capacity_unit,514
7,meter,metric_linear_unit,514
8,centimeter,metric_linear_unit,514
9,millimeter,metric_linear_unit,514
10,decimeter,metric_linear_unit,514
11,hectometer,metric_linear_unit,514
12,kilometer,metric_linear_unit,514
13,myriameter,metric_linear_unit,514
14,nanometer,metric_linear_unit,514
15,micron,metric_linear_unit,514
16,angstrom,metric_linear_unit,514
17,metric_linear_unit,metric_unit,514
18,metric_weight_unit,metric_unit,514
19,metric_capacity_unit,metric_unit,514
20,gram,metric_weight_unit,514
21,kilogram,metric_weight_unit,514
22,microgram,metric_weight_unit,514
23,milligram,metric_weight_unit,514
24,hectogram,metric_weight_unit,514
25,quintal,metric_weight_unit,514
26,metric_ton,metric_weight_unit,514
27,centner,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,flamen,priest,515
0,quadrille,country-dance,8
1,lancers,country-dance,8
2,reel,country-dance,8
3,longways,country-dance,8
4,square_dance,country-dance,8
0,drug_addict,addict,9
1,withdrawer,addict,9
2,cocaine_addict,drug_addict,9
3,heroin_addict,drug_addict,9
4,opium_addict,drug_addict,9
0,overexposure,exposure,10
1,underexposure,exposure,10
2,manipulation,influence,10
3,seduction,influence,10
4,enticement,influence,10
5,hypnotism,influence,10
6,impingement,influence,10
7,exposure,influence,10
8,solicitation,influence,10
9,cross-pollination,influence,10
10,mind_game,manipulation,10
0,coefficient_of_expansion,coefficient,13
1,coefficient_of_mutual_induction,coefficient,13
2,coefficient_of_viscosity,coefficient,13
3,absorption_coefficient,coefficient,13
4,coefficient_of_self_induction,coefficient,13
5,drag_coefficient,coefficient,13
6,weight,coefficient,13
7,coefficient_of_elasticity,coefficient,13
8,coefficient_of_friction,coefficient,13
9,transmittance,coefficient,13
10,coefficient_of_reflection,coefficient,13
11,modulus,coefficient,13
12,bulk_modulus,modulus,13
13,young's_modulus,modulus,13
14,modulus_of_rigidity,modulus,13
0,sobriety,abstinence,525
1,hunger_strike,fast,525
2,ramadan,sawm,525
3,abstinence,self-denial,525
4,asceticism,self-denial,525
0,air_travel,flight,15
1,maiden_flight,flight,15
2,sortie,flight,15
3,overflight,flight,15
4,solo,flight,15
5,glide,flight,15
6,acrobatics,flight,15
7,tailspin,flight,15
8,flyover,flight,15
9,terrain_flight,flight,15
10,ballooning,flight,15
11,parasailing,flight,15
12,hang_gliding,flight,15
13,blind_flying,flight,15
0,seminar,course,17
1,workshop,course,17
2,elective_course,course,17
3,required_course,course,17
4,higher_education,education,17
5,secondary_education,education,17
6,elementary_education,education,17
7,course,education,17
8,dramatics,extracurricular_activity,17
0,grand_larceny,larceny,531
1,petit_larceny,larceny,531
2,shoplifting,larceny,531
3,armed_robbery,robbery,531
4,highway_robbery,robbery,531
5,heist,robbery,531
0,codefendant,defendant,532
1,accused,defendant,532
2,plaintiff,litigant,532
3,defendant,litigant,532
4,appellant,litigant,532
5,respondent,litigant,532
6,prevailing_party,litigant,532
7,suer,plaintiff,532
8,filer,plaintiff,532
0,empathy,compassion,535
1,commiseration,compassion,535
2,mercifulness,compassion,535
3,sympathy,compassion,535
4,forgiveness,compassion,535
5,mellowness,compassion,535
6,kindheartedness,compassion,535
0,true_marmoset,marmoset,24
1,pygmy_marmoset,marmoset,24
2,capuchin,new_world_monkey,24
3,squirrel_monkey,new_world_monkey,24
4,tamarin,new_world_monkey,24
5,howler_monkey,new_world_monkey,24
6,uakari,new_world_monkey,24
7,douroucouli,new_world_monkey,24
8,saki,new_world_monkey,24
9,woolly_monkey,new_world_monkey,24
10,spider_monkey,new_world_monkey,24
11,marmoset,new_world_monkey,24
12,silky_tamarin,tamarin,24
0,duck_down,down,33
1,goose_down,down,33
2,swan's_down,down,33
3,eiderdown,down,33
4,contour_feather,feather,33
5,down,feather,33
6,flight_feather,feather,33
7,bastard_wing,feather,33
8,sickle_feather,feather,33
9,primary,flight_feather,33
0,trouser_cuff,cuff,42
1,pocket_flap,flap,42
2,codpiece,flap,42
3,earflap,flap,42
4,tongue,flap,42
5,tent-fly,flap,42
6,lapel,flap,42
7,revers,flap,42
8,cuff,flap,42
9,coattail,flap,42
10,lappet,flap,42
11,barndoor,flap,42
0,unicyclist,cyclist,559
1,pedaler,cyclist,559
2,merckx,cyclist,559
3,hinault,cyclist,559
4,cyclist,rider,559
5,horseman,rider,559
6,horsewoman,rider,559
7,roughrider,rider,559
0,broccoli_rabe,broccoli,561
1,head_cabbage,cabbage,561
2,savoy_cabbage,cabbage,561
3,red_cabbage,cabbage,561
4,chinese_cabbage,cabbage,561
5,cabbage,cruciferous_vegetable,561
6,broccoli,cruciferous_vegetable,561
7,kohlrabi,cruciferous_vegetable,561
8,radish,cruciferous_vegetable,561
9,turnip,cruciferous_vegetable,561
10,rutabaga,cruciferous_vegetable,561
11,cauliflower,cruciferous_vegetable,561
12,collards,cruciferous_vegetable,561
13,mustard,cruciferous_vegetable,561
14,white_turnip,turnip,561
0,wandering_albatross,albatross,563
1,black-footed_albatross,albatross,563
2,procellariiform_seabird,pelagic_bird,563
3,storm_petrel,petrel,563
4,stormy_petrel,petrel,563
5,white-chinned_petrel,petrel,563
6,mother_carey's_chicken,petrel,563
7,diving_petrel,petrel,563
8,giant_petrel,petrel,563
9,albatross,procellariiform_seabird,563
10,petrel,procellariiform_seabird,563
11,shearwater,procellariiform_seabird,563
12,manx_shearwater,shearwater,563
0,tempo,musical_time,569
1,rhythm,musical_time,569
2,in_time,rhythm,569
3,upbeat,rhythm,569
4,backbeat,rhythm,569
5,downbeat,rhythm,569
6,syncopation,rhythm,569
7,accelerando,tempo,569
8,allegro,tempo,569
9,allegretto,tempo,569
10,meno_mosso,tempo,569
11,andante,tempo,569
0,enteric-coated_aspirin,aspirin,58
1,aspirin_powder,aspirin,58
2,buffered_aspirin,aspirin,58
3,ketorolac_tromethamine,ketorolac,58
4,naproxen_sodium,naproxen,58
5,salicylate,nonsteroidal_anti-inflammatory,58
6,ketorolac,nonsteroidal_anti-inflammatory,58
7,mefenamic_acid,nonsteroidal_anti-inflammatory,58
8,ketoprofen,nonsteroidal_anti-inflammatory,58
9,naproxen,nonsteroidal_anti-inflammatory,58
10,indomethacin,nonsteroidal_anti-inflammatory,58
11,meclofenamate,nonsteroidal_anti-inflammatory,58
12,flurbiprofen,nonsteroidal_anti-inflammatory,58
13,tolmetin_sodium,nonsteroidal_anti-inflammatory,58
14,etodolac,nonsteroidal_anti-inflammatory,58
15,oxaprozin,nonsteroidal_anti-inflammatory,58
16,fenoprofen,nonsteroidal_anti-inflammatory,58
17,sulindac,nonsteroidal_anti-inflammatory,58
18,nabumetone,nonsteroidal_anti-inflammatory,58
19,aspirin,nonsteroidal_anti-inflammatory,58
20,ibuprofen,nonsteroidal_anti-inflammatory,58
21,piroxicam,nonsteroidal_anti-inflammatory,58
0,metal_filing,filing,64
1,clast,fragment,64
2,splinter,fragment,64
3,spall,fragment,64
4,turning,fragment,64
5,filing,fragment,64
6,brickbat,fragment,64
7,ember,fragment,64
8,scraping,fragment,64
0,lucy,australopithecus_afarensis,577
1,australopithecine,hominid,577
2,homo,hominid,577
3,sivapithecus,hominid,577
4,dryopithecine,hominid,577
5,rudapithecus,hominid,577
6,homo_habilis,homo,577
7,homo_erectus,homo,577
8,homo_sapiens,homo,577
9,homo_soloensis,homo,577
10,java_man,homo_erectus,577
11,peking_man,homo_erectus,577
12,homo_sapiens_sapiens,homo_sapiens,577
13,rhodesian_man,homo_sapiens,577
14,hominid,world,577
0,primary_syphilis,syphilis,584
1,secondary_syphilis,syphilis,584
2,tertiary_syphilis,syphilis,584
3,neurosyphilis,syphilis,584
4,tabes_dorsalis,tertiary_syphilis,584
5,genital_herpes,venereal_disease,584
6,syphilis,venereal_disease,584
7,chlamydia,venereal_disease,584
8,gonorrhea,venereal_disease,584
9,lymphogranuloma_venereum,venereal_disease,584
10,granuloma_inguinale,venereal_disease,584
0,caryatid,column,589
1,doorjamb,jamb,589
2,gatepost,post,589
3,queen_post,post,589
4,hinging_post,post,589
5,hitching_post,post,589
6,whipping_post,post,589
7,jamb,post,589
8,stanchion,post,589
9,riding_bitt,post,589
10,king_post,post,589
11,maypole,post,589
12,telephone_pole,post,589
13,goalpost,post,589
14,shaft,post,589
15,bollard,post,589
16,lamppost,post,589
17,standard,post,589
18,corner_post,post,589
19,column,post,589
20,upright,post,589
21,carrick_bitt,post,589
0,tagalog,filipino,78
1,visayan,filipino,78
2,cebuan,filipino,78
0,atlantic_bottlenose_dolphin,bottlenose_dolphin,86
1,pacific_bottlenose_dolphin,bottlenose_dolphin,86
2,bottlenose_dolphin,dolphin,86
3,common_dolphin,dolphin,86
4,river_dolphin,dolphin,86
5,grampus,dolphin,86
6,harbor_porpoise,porpoise,86
7,pygmy_sperm_whale,sperm_whale,86
8,dwarf_sperm_whale,sperm_whale,86
9,dolphin,toothed_whale,86
10,porpoise,toothed_whale,86
11,sperm_whale,toothed_whale,86
12,beaked_whale,toothed_whale,86
0,alpine_clubmoss,club_moss,599
1,ground_fir,club_moss,599
2,shining_clubmoss,club_moss,599
3,fir_clubmoss,club_moss,599
4,ground_cedar,club_moss,599
5,running_pine,club_moss,599
6,club_moss,fern_ally,599
7,horsetail,fern_ally,599
8,whisk_fern,fern_ally,599
9,resurrection_plant,fern_ally,599
10,spikemoss,fern_ally,599
11,common_horsetail,horsetail,599
12,marsh_horsetail,horsetail,599
13,swamp_horsetail,horsetail,599
14,wood_horsetail,horsetail,599
15,variegated_horsetail,horsetail,599
16,scouring_rush,horsetail,599
17,meadow_spikemoss,spikemoss,599
18,florida_selaginella,spikemoss,599
19,desert_selaginella,spikemoss,599
20,rock_spikemoss,spikemoss,599
0,screening,examination,88
1,inspection,examination,88
2,testing,examination,88
3,audit,examination,88
4,survey,examination,88
5,time_and_motion_study,examination,88
6,comparison,examination,88
7,follow-up,examination,88
0,eagle_scout,boy_scout,92
1,brownie,girl_scout,92
2,schoolboy,male_child,92
3,shop_boy,male_child,92
4,ball_boy,male_child,92
5,farm_boy,male_child,92
6,plowboy,male_child,92
7,altar_boy,male_child,92
8,bat_boy,male_child,92
9,fauntleroy,male_child,92
10,boy_scout,scout,92
0,aegean_civilization,civilization,607
1,indus_civilization,civilization,607
2,mycenaean_civilization,civilization,607
3,helladic_civilization,civilization,607
4,cycladic_civilization,civilization,607
5,minoan_civilization,civilization,607
6,civilization,culture,607
7,society,culture,607
8,clovis_culture,paleo-american_culture,607
9,folsom_culture,paleo-american_culture,607
10,tribal_society,society,607
11,open_society,society,607
12,hunting_and_gathering_tribe,tribal_society,607
0,cock_sucking,fellatio,608
1,cunnilingus,oral_sex,608
2,fellatio,oral_sex,608
3,soixante-neuf,oral_sex,608
4,fetishism,paraphilia,608
5,voyeurism,paraphilia,608
6,exhibitionism,paraphilia,608
7,zoophilia,paraphilia,608
8,sodomy,paraphilia,608
9,pederasty,paraphilia,608
10,pedophilia,paraphilia,608
0,nissen_hut,hut,101
1,tent,shelter,101
2,hut,shelter,101
3,dugout,shelter,101
4,safe_house,shelter,101
5,storm_cellar,shelter,101
6,refuge,shelter,101
7,haven,shelter,101
8,safehold,shelter,101
9,cookhouse,shelter,101
10,harbor,shelter,101
11,loft,shelter,101
12,canvas_tent,tent,101
13,pup_tent,tent,101
14,bell_tent,tent,101
15,mountain_tent,tent,101
16,backpacking_tent,tent,101
17,field_tent,tent,101
18,two-man_tent,tent,101
19,pyramidal_tent,tent,101
20,sibley_tent,tent,101
21,lean-to_tent,tent,101
22,umbrella_tent,tent,101
23,circus_tent,tent,101
24,fly_tent,tent,101
25,pop_tent,tent,101
26,wall_tent,tent,101
0,high-hat_cymbal,cymbal,105
1,snare_drum,drum,105
2,bass_drum,drum,105
3,tenor_drum,drum,105
4,bongo,drum,105
5,concert_grand,grand_piano,105
6,baby_grand,grand_piano,105
7,drum,percussion_instrument,105
8,cymbal,percussion_instrument,105
9,marimba,percussion_instrument,105
10,glockenspiel,percussion_instrument,105
11,tambourine,percussion_instrument,105
12,triangle,percussion_instrument,105
13,maraca,percussion_instrument,105
14,tambour,percussion_instrument,105
15,vibraphone,percussion_instrument,105
16,chime,percussion_instrument,105
17,rain_stick,percussion_instrument,105
18,bones,percussion_instrument,105
19,handbell,percussion_instrument,105
20,tabor,percussion_instrument,105
21,carillon,percussion_instrument,105
22,lagerphone,percussion_instrument,105
23,upright,piano,105
24,grand_piano,piano,105
0,timecard,card,619
1,excelsior,packing_material,619
0,summer_squash,squash,625
1,winter_squash,squash,625
2,zucchini,summer_squash,625
3,yellow_squash,summer_squash,625
4,cocozelle,summer_squash,625
5,marrow,summer_squash,625
6,cymling,summer_squash,625
7,pumpkin,winter_squash,625
8,hubbard_squash,winter_squash,625
9,acorn_squash,winter_squash,625
10,butternut_squash,winter_squash,625
11,buttercup_squash,winter_squash,625
12,turban_squash,winter_squash,625
13,cushaw,winter_squash,625
0,salesclerk,salesperson,626
1,shop_boy,salesperson,626
2,shop_girl,salesperson,626
3,salesgirl,salesperson,626
4,pitchman,salesperson,626
5,demonstrator,salesperson,626
6,tallyman,salesperson,626
7,salesman,salesperson,626
8,book_agent,salesperson,626
0,plant_louse,aphid,631
1,grape_louse,aphid,631
2,pine_leaf_aphid,aphid,631
3,woolly_aphid,aphid,631
4,spruce_gall_aphid,aphid,631
5,blackfly,aphid,631
6,oak_blight,aphid,631
7,pale_chrysanthemum_aphid,aphid,631
8,apple_aphid,aphid,631
9,greenfly,aphid,631
10,adelgid,aphid,631
11,balsam_woolly_aphid,woolly_aphid,631
12,woolly_apple_aphid,woolly_aphid,631
13,woolly_alder_aphid,woolly_aphid,631
0,central_chimpanzee,chimpanzee,635
1,eastern_chimpanzee,chimpanzee,635
2,western_chimpanzee,chimpanzee,635
3,pygmy_chimpanzee,chimpanzee,635
4,mountain_gorilla,gorilla,635
5,eastern_lowland_gorilla,gorilla,635
6,western_lowland_gorilla,gorilla,635
7,silverback,gorilla,635
8,chimpanzee,great_ape,635
9,gorilla,great_ape,635
10,orangutan,great_ape,635
11,gibbon,lesser_ape,635
12,siamang,lesser_ape,635
0,augur,diviner,640
1,geomancer,diviner,640
2,sibyl,diviner,640
3,prophet,diviner,640
4,prophetess,diviner,640
5,oneiromancer,diviner,640
6,hydromancer,diviner,640
7,necromancer,diviner,640
8,pyromancer,diviner,640
9,onomancer,diviner,640
10,lithomancer,diviner,640
0,alzheimer's_disease,dementia,648
1,senile_dementia,dementia,648
2,presenile_dementia,dementia,648
3,alcoholic_dementia,dementia,648
4,pick's_disease,dementia,648
5,irrationality,insanity,648
6,craziness,insanity,648
7,lunacy,insanity,648
