,child,parent,group
0,data_anonymization_and_sanitization,database_and_storage_security,10002978_8
1,database_activity_monitoring,database_and_storage_security,10002978_8
2,information_accountability_and_usage_control,database_and_storage_security,10002978_8
3,management_and_querying_of_encrypted_data,database_and_storage_security,10002978_8
0,continuous_functions,continuous_mathematics,10002950_5
1,calculus,continuous_mathematics,10002950_5
2,geometric_topology,topology,10002950_5
3,algebraic_topology,topology,10002950_5
4,point-set_topology,topology,10002950_5
5,continuous_mathematics,topology,10002950_5
0,ethnography,anthropology,10010405_5
0,aerospace,engineering,10010405_3
1,electronics,engineering,10010405_3
2,computer-aided_design,engineering,10010405_3
3,avionics,engineering,10010405_3
4,telecommunications,engineering,10010405_3
5,engineering,physical_sciences_and_engineering,10010405_3
6,earth_and_atmospheric_sciences,physical_sciences_and_engineering,10010405_3
7,mathematics_and_statistics,physical_sciences_and_engineering,10010405_3
8,chemistry,physical_sciences_and_engineering,10010405_3
9,physics,physical_sciences_and_engineering,10010405_3
10,environmental_sciences,physical_sciences_and_engineering,10010405_3
11,astronomy,physical_sciences_and_engineering,10010405_3
12,archaeology,physical_sciences_and_engineering,10010405_3
13,internet_telephony,telecommunications,10010405_3
0,design_for_testability,hardware_test,10010583_8
1,fault_models_and_test_metrics,hardware_test,10010583_8
2,built-in_self-test,hardware_test,10010583_8
3,defect-based_test,hardware_test,10010583_8
4,test-pattern_generation_and_fault_simulation,hardware_test,10010583_8
5,test_data_compression,hardware_test,10010583_8
6,memory_test_and_repair,hardware_test,10010583_8
7,"analog,_mixed-signal_and_radio_frequency_test",hardware_test,10010583_8
8,board-_and_system-level_test,hardware_test,10010583_8
9,testing_with_distributed_and_parallel_systems,hardware_test,10010583_8
10,hardware_reliability_screening,hardware_test,10010583_8
11,online_test_and_diagnostics,hardware_test,10010583_8
0,abstract_machines,models_of_computation,10003752_1
1,concurrency,models_of_computation,10003752_1
2,distributed_computing_models,models_of_computation,10003752_1
3,quantum_computation_theory,models_of_computation,10003752_1
4,probabilistic_computation,models_of_computation,10003752_1
5,interactive_computation,models_of_computation,10003752_1
6,streaming_models,models_of_computation,10003752_1
7,timed_and_hybrid_models,models_of_computation,10003752_1
8,recursive_functions,models_of_computation,10003752_1
9,process_calculi,models_of_computation,10003752_1
10,parallel_computing_models,models_of_computation,10003752_1
11,turing_machines,models_of_computation,10003752_1
12,lambda_calculus,models_of_computation,10003752_1
13,computability,models_of_computation,10003752_1
14,quantum_query_complexity,quantum_computation_theory,10003752_1
15,quantum_communication_complexity,quantum_computation_theory,10003752_1
16,quantum_complexity_theory,quantum_computation_theory,10003752_1
17,quantum_information_theory,quantum_computation_theory,10003752_1
0,complexity_classes,complexity_theory_and_logic,10003752_3
1,"problems,_reductions_and_completeness",complexity_theory_and_logic,10003752_3
2,computational_complexity_and_cryptography,complexity_theory_and_logic,10003752_3
3,oracles_and_decision_trees,complexity_theory_and_logic,10003752_3
4,interactive_proof_systems,complexity_theory_and_logic,10003752_3
5,communication_complexity,complexity_theory_and_logic,10003752_3
6,circuit_complexity,complexity_theory_and_logic,10003752_3
7,algebraic_complexity_theory,complexity_theory_and_logic,10003752_3
8,quantum_complexity_theory,complexity_theory_and_logic,10003752_3
9,proof_complexity,complexity_theory_and_logic,10003752_3
10,cryptographic_protocols,computational_complexity_and_cryptography,10003752_3
11,cryptographic_primitives,computational_complexity_and_cryptography,10003752_3
0,bioinformatics,computational_biology,10010405_4
1,computational_transcriptomics,computational_biology,10010405_4
2,computational_proteomics,computational_biology,10010405_4
3,molecular_evolution,genetics,10010405_4
