,child,parent,group
0,liter,metric_capacity_unit,514
1,kiloliter,metric_capacity_unit,514
2,hectoliter,metric_capacity_unit,514
3,dekaliter,metric_capacity_unit,514
4,deciliter,metric_capacity_unit,514
5,centiliter,metric_capacity_unit,514
6,milliliter,metric_capacity_unit,514
7,cubic_millimeter,metric_capacity_unit,514
8,cubic_kilometer,metric_capacity_unit,514
9,meter,metric_linear_unit,514
10,kilometer,metric_linear_unit,514
11,hectometer,metric_linear_unit,514
12,myriameter,metric_linear_unit,514
13,centimeter,metric_linear_unit,514
14,millimeter,metric_linear_unit,514
15,micron,metric_linear_unit,514
16,nanometer,metric_linear_unit,514
17,angstrom,metric_linear_unit,514
18,femtometer,metric_linear_unit,514
19,picometer,metric_linear_unit,514
20,decameter,metric_linear_unit,514
21,metric_linear_unit,metric_unit,514
22,metric_capacity_unit,metric_unit,514
23,metric_weight_unit,metric_unit,514
24,gram,metric_weight_unit,514
25,kilogram,metric_weight_unit,514
26,hectogram,metric_weight_unit,514
27,dekagram,metric_weight_unit,514
28,gram_atom,metric_weight_unit,514
29,gram_molecule,metric_weight_unit,514
30,milligram,metric_weight_unit,514
31,microgram,metric_weight_unit,514
32,nanogram,metric_weight_unit,514
33,metric_ton,metric_weight_unit,514
34,centner,metric_weight_unit,514
35,quintal,metric_weight_unit,514
36,carat,metric_weight_unit,514
37,hundredweight,metric_weight_unit,514
38,grain,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,lama,priest,515
3,magus,priest,515
4,shaman,priest,515
5,druid,priest,515
6,bacchant,priest,515
7,flamen,priest,515
8,vestal_virgin,priest,515
9,votary,priest,515
10,medicine_man,shaman,515
11,rainmaker,shaman,515
0,phi_coefficient,correlation_coefficient,5
1,biserial_correlation_coefficient,correlation_coefficient,5
2,tetrachoric_correlation_coefficient,correlation_coefficient,5
3,kendall_partial_rank_correlation,correlation_coefficient,5
4,product-moment_correlation_coefficient,correlation_coefficient,5
5,rank-order_correlation_coefficient,correlation_coefficient,5
6,tau_coefficient_of_correlation,correlation_coefficient,5
7,split-half_correlation,correlation_coefficient,5
8,mean_deviation,deviation,5
9,arithmetic_mean,mean,5
10,geometric_mean,mean,5
11,harmonic_mean,mean,5
12,second_moment,moment,5
13,parametric_statistic,statistic,5
14,nonparametric_statistic,statistic,5
15,demographic,statistic,5
16,time_series,statistic,5
17,outlier,statistic,5
18,correlation_coefficient,statistic,5
19,coefficient_of_concordance,statistic,5
20,vital_statistics,statistic,5
0,quadrille,country-dance,8
1,square_dance,country-dance,8
2,reel,country-dance,8
3,longways,country-dance,8
4,landler,country-dance,8
5,swing,country-dance,8
6,highland_fling,reel,8
7,do-si-do,square_dance,8
0,drug_addict,addict,9
1,withdrawer,addict,9
2,caffeine_addict,addict,9
3,crack_addict,cocaine_addict,9
4,pill_head,drug_addict,9
5,cocaine_addict,drug_addict,9
6,opium_addict,drug_addict,9
7,heroin_addict,drug_addict,9
0,overexposure,exposure,10
1,underexposure,exposure,10
2,manipulation,influence,10
3,exposure,influence,10
4,mind_game,manipulation,10
5,ingratiation,manipulation,10
0,coefficient_of_expansion,coefficient,13
1,coefficient_of_elasticity,coefficient,13
2,coefficient_of_friction,coefficient,13
3,coefficient_of_mutual_induction,coefficient,13
4,coefficient_of_self_induction,coefficient,13
5,drag_coefficient,coefficient,13
6,coefficient_of_reflection,coefficient,13
7,transmittance,coefficient,13
8,absorption_coefficient,coefficient,13
9,coefficient_of_viscosity,coefficient,13
10,bulk_modulus,modulus,13
11,young's_modulus,modulus,13
12,modulus_of_rigidity,modulus,13
0,sobriety,abstinence,525
1,teetotaling,abstinence,525
2,chastity,abstinence,525
3,hunger_strike,fast,525
4,sawm,fast,525
5,asceticism,self-denial,525
6,abstinence,self-denial,525
0,tailspin,acrobatics,15
1,air_travel,flight,15
2,ballooning,flight,15
