,0
0,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    1 --> 4[""filter_material_rubber""]
    1 --> 5[""filter_material_metal""]
    4 --> 6[""And""]
    5 --> 6
    6 --> 7[""filter_shape""]
    3 --> 8[""same_shape""]
    8 --> 7
    7 --> 9[""except_1""]
    9 --> 10[""count""]
"
1,"
graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    1 --> 5[""filter_color_gray""]
    5 --> 6[""unique""]
    4 --> 7[""relate_behind""]
    6 --> 8[""relate_left""]
    7 --> 9[""And""]
    8 --> 9
    9 --> 10[""filter_material_metal""]
    10 --> 11[""count""]
"
2,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""query_color""]
    1 --> 6[""filter_size_small""]
    1 --> 7[""filter_shape_sphere""]
    6 --> 7
    5 --> 8[""filter_color""]
    6 --> 8
    8 --> 9[""count""]
"
3,"
graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_shape_cube""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    1 --> 6[""filter_shape_cylinder""]
    5 --> 6
    6 --> 7[""filter_material_rubber""]
    7 --> 8[""filter_color_red""]
    6 --> 9[""filter_material_metal""]
    8 --> 10[""OR""]
    9 --> 10
    10 --> 11[""count""]
"
4,"
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    1 --> 5[""filter_shape_cube""]
    5 --> 6[""unique""]
    6 --> 7[""relate_in_front""]
    4 --> 8[""filter_shape_cylinder""]
    8 --> 9[""unique""]
    1 --> 10[""filter_material_metal""]
    10 --> 11[""unique""]
    6 --> 12[""relate_right""]
    1 --> 13[""filter_size_large""]
    13 --> 14[""filter_material_rubber""]
    14 --> 15[""count""]
    12 --> 16[""filter_size_large""]
    16 --> 17[""filter_material_rubber""]
    17 --> 15
"
5,"
graph LR
    1[""scene""] --> 2[""filter_shape_cube""]
    1 --> 3[""filter_color_brown""]
    3 --> 4[""filter_shape_cylinder""]
    4 --> 5[""unique""]
    2 --> 6[""relate_behind""]
    6 --> 7[""same_material""]
    7 --> 8[""same_size""]
    5 --> 8
"
6,"
graph LR
    1[""scene""] --> 2[""filter_color_blue""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    1 --> 6[""filter_material_rubber""]
    6 --> 7[""unique""]
    7 --> 8[""query_color""]
    5 --> 9[""unique""]
    8 --> 10[""equal_color-red""]
"
7,"
graph LR
    1[""scene""] --> 2[""filter_material_metal""]
    2 --> 3[""filter_size_small""]
    3 --> 4[""relate_left""]
    4 --> 5[""unique""]
    1 --> 6[""filter_color_blue""]
    6 --> 7[""filter_size_large""]
    7 --> 8[""unique""]
    5 --> 9[""equal_shape""]
    8 --> 9
"
8,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    1 --> 5[""filter_size_small""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 8[""equal_color""]
    7 --> 3
"
9,"
graph LR
    1[""scene""] --> 2[""filter_material_metal""]
    1 --> 3[""filter_size_small""]
    3 --> 4[""filter_color_brown""]
    4 --> 5[""filter_material_metal""]
    5 --> 6[""count""]
    2 --> 7[""count""]
    7 --> 8[""less_than""]
    6 --> 8
"
10,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_size_large""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    6 --> 7[""filter_material_metal""]
    7 --> 8[""filter_shape_sphere""]
    8 --> 9[""filter_size_large""]
    9 --> 10[""unique""]
    10 --> 11[""query_color""]
"
11,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""relate_behinde""]
    1 --> 4[""filter_size_large""]
    4 --> 5[""filter_material""]
    5 --> 6[""unique""]
    6 --> 7[""relate_left""]
    3 --> 8[""AND""]
    7 --> 8
    8 --> 9[""filter_shape_cylinder""]
    9 --> 10[""unique""]
    10 --> 11[""query_size""]
"
12,"
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    1 --> 5[""filter_color_purple""]
    5 --> 6[""unique""]
    6 --> 7[""relate_in_front""]
    4 --> 8[""relate_behind""]
    7 --> 9[""And""]
    8 --> 9
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""unique""]
    11 --> 12[""query_shape""]
"
13,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_red""]
    3 --> 4[""unique""]
    4 --> 5[""same_material""]
    5 --> 6[""filter_color_yellow""]
    6 --> 7[""unique""]
    7 --> 8[""query_shape""]
"
14,"
graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_size_small""]
    3 --> 4[""unique""]
    4 --> 5[""same_shape""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""query_size""]
"
15,"
graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_size_large""]
    4 --> 5[""unique""]
    1 --> 6[""relate_left""]
    5 --> 6
    1 --> 7[""filter_color_red""]
    7 --> 8[""filter_material_metal""]
    6 --> 9[""OR""]
    8 --> 9
    9 --> 10[""count""]
"
16,"
graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_size_small""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    1 --> 6[""filter_size_large""]
    5 --> 7[""AND""]
    6 --> 7
    7 --> 8[""filter_shape""]
    8 --> 9[""OR""]
    2 --> 10[""filter_color_green""]
    10 --> 11[""filter_material_rubber""]
    11 --> 9
    9 --> 12[""count""]
"
17,"
graph LR
    1[""scene""] --> 2[""filter_color_yellow""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_in_front""]
    4 --> 6[""filter_material_rubber""]
    6 --> 7[""unique""]
    5 --> 7
    7 --> 8[""relate_behind""]
    7 --> 9[""filter_size_large""]
    8 --> 9
    9 --> 10[""count""]
"
18,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_shape_sphere""]
    4 --> 5[""count""]
"
19,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""same_color""]
    5 --> 6[""filter_shape_cube""]
    6 --> 7[""count""]
"
20,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_color_red""]
    4 --> 5[""unique""]
    5 --> 6[""relate_left""]
    1 --> 7[""filter_size_small""]
    7 --> 8[""filter_shape_cylinder""]
    6 --> 9[""filter_shape_cylinder""]
    9 --> 10[""filter_size_small""]
    5 --> 11[""relate_left""]
    7 --> 11
    9 --> 8
    8 --> 12[""count""]
    11 --> 13[""filter_size_small""]
    13 --> 14[""count""]
    12 --> 15[""exist""]
    14 --> 15
    15 --> 16[""and""]
    16 --> 17[""equal_integer""]
    17 --> 18[""exist""]
    18 --> 19[""count""]
    14 --> 19
"
21,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_color_red""]
    4 --> 5[""unique""]
    1 --> 6[""filter_color_yellow""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 8[""relate_right""]
    6 --> 9[""filter_size_small""]
    9 --> 10[""filter_material_metal""]
    8 --> 11
    11 --> 12[""AND""]
    9 --> 12
    12 --> 13[""filter_shape_large""]
    5 --> 14[""relate_in_front""]
    14 --> 15[""filter_shape""]
    14 --> 16[""AND""]
    15 --> 17
    17 --> 18[""filter_shape""]
    16 --> 19
    13 --> 18
    14 --> 19
    19 --> 20[""count""]
    11 --> 21[""AND""]
    10 --> 21
    20 --> 22[""greater_than""]
    21 --> 22
"
22,"
graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    6[""scene""] --> 7[""filter_size_small""]
    1 --> 7
    7 --> 8[""filter_shape_sphere""]
    6 --> 9[""filter_material_rubber""]
    9 --> 10[""unique""]
    5 --> 11[""filter_size_small""]
    4 --> 11
    4 --> 12[""filter_material_rubber""]
    4 --> 13[""query_color""]
    11 --> 14[""filter_shape_sphere""]
    13 --> 15[""equal_color""]
    14 --> 16[""query_color""]
"
