,group,child,parent
0,10002950_1,Permutations and combinations,Combinatorics
1,10002950_1,Graph theory,Combinatorics
2,10002950_1,Graph algorithms,Graph theory
3,10002950_1,Trees,Graph theory
4,10002950_1,Paths and connectivity problems,Graph theory
5,10002950_1,Graph coloring,Graph theory
6,10002950_1,Graph enumeration,Graph theory
7,10002950_1,Hypergraphs,Graph theory
8,10002950_1,Graphs and surfaces,Graph theory
9,10002950_1,Spectra of graphs,Graph theory
10,10002950_1,Approximation algorithms,Combinatorics
11,10002950_1,Combinatorial algorithms,Combinatorics
12,10002950_1,Combinatorial optimization,Combinatorics
13,10002950_1,Generating functions,Combinatorics
14,10002950_1,Combinatorics on words,Combinatorics
15,10002950_1,Matroids and greedoids,Combinatorics
16,10002950_1,Extremal graph theory,Graph theory
17,10002950_1,Matchings and factors,Graph theory
18,10002950_1,Network flows,Graph theory
19,10002950_1,Random graphs,Graph theory
20,10002950_1,Combinatoric problems,Combinatorics
21,10002950_1,Enumeration,Combinatorics
22,10002950_1,Combinatorics,Discrete mathematics
23,10002950_4,Continuous optimization,Mathematical optimization
24,10002950_4,Convex optimization,Continuous optimization
25,10002950_4,Submodular optimization and polymatroids,Continuous optimization
26,10002950_4,Nonconvex optimization,Continuous optimization
27,10002950_4,Discrete optimization,Mathematical optimization
28,10002950_4,Integer programming,Discrete optimization
29,10002950_4,Linear programming,Discrete optimization
30,10002950_4,Quadratic programming,Discrete optimization
31,10002950_4,Evolutionary algorithms,Mathematical optimization
32,10002950_4,Bio-inspired optimization,Evolutionary algorithms
33,10002950_4,Computational methods,Mathematical optimization
34,10002950_4,Numerical analysis,Computational methods
35,10002950_4,Numerical differentiation,Computational methods
36,10002950_4,Computations on matrices,Computational methods
37,10002950_4,Specialized optimization techniques,Mathematical optimization
38,10002950_4,Semidefinite programming,Specialized optimization techniques
39,10002950_4,Quasiconvex programming and unimodality,Specialized optimization techniques
40,10002950_4,Non-parametric optimization,Specialized optimization techniques
41,10002950_4,Computational mathematics,Mathematical optimization
42,10002950_4,Computations on polynomials,Computational mathematics
43,10002950_4,Computations in finite fields,Computational mathematics
44,10002950_4,Arbitrary-precision arithmetic,Computational mathematics
45,10002950_4,Numerical methods,Mathematical optimization
46,10002950_4,Ordinary differential equations,Numerical methods
47,10002950_4,Partial differential equations,Numerical methods
48,10002950_4,Differential algebraic equations,Numerical methods
49,10002950_4,Algebraic and analytical methods,Mathematical optimization
50,10002950_4,Gr???bner bases and other special bases,Algebraic and analytical methods
51,10002950_4,Lambda calculus,Algebraic and analytical methods
52,10002950_4,Functional analysis,Algebraic and analytical methods
53,10002950_4,Specialized applications,Mathematical optimization
54,10002950_4,Network optimization,Specialized applications
55,10002950_4,Mixed discrete-continuous optimization,Specialized applications
56,10002950_4,Optimization with randomized search heuristics,Specialized applications
57,10002950_5,Algebraic topology,Topology
58,10002950_5,Geometric topology,Topology
59,10002950_5,Point-set topology,Topology
60,10002950_5,Calculus,Continuous mathematics
61,10002950_5,Continuous functions,Continuous mathematics
62,10002951_3,Information systems applications,Information systems
63,10002951_3,Enterprise information systems,Information systems applications
64,10002951_3,Geographic information systems,Information systems applications
65,10002951_3,Social computing systems and tools,Information systems applications
66,10002951_3,Data management and analysis,Information systems applications
67,10002951_3,Multimedia and content creation,Information systems applications
68,10002951_3,Security and control,Information systems applications
69,10002951_3,Collaboration and communication,Information systems applications
70,10002951_3,Expert systems and knowledge management,Information systems applications
71,10002951_3,Data centers and cloud computing,Information systems applications
72,10002951_3,Mobile and wireless systems,Information systems applications
73,10002951_3,Data streams and real-time processing,Information systems applications
74,10002951_3,Online services and advertising,Information systems applications
75,10002978_1,Symmetric cryptography and hash functions,Cryptography
76,10002978_1,Block and stream ciphers,Symmetric cryptography and hash functions
77,10002978_1,Hash functions and message authentication codes,Symmetric cryptography and hash functions
78,10002978_1,Public key (asymmetric) techniques,Cryptography
79,10002978_1,Public key encryption,Public key (asymmetric) techniques
80,10002978_1,Digital signatures,Public key (asymmetric) techniques
81,10002978_1,Mathematical foundations of cryptography,Cryptography
82,10002978_1,Information-theoretic techniques,Cryptography
83,10002978_1,Cryptanalysis and other attacks,Cryptography
84,10002978_1,Key management,Cryptography
85,10002978_10,Economics of security and privacy,Human and societal aspects of security and privacy
86,10002978_10,Usability in security and privacy,Human and societal aspects of security and privacy
87,10002978_10,Social aspects of security and privacy,Human and societal aspects of security and privacy
88,10002978_10,Privacy protections,Human and societal aspects of security and privacy
89,10002978_2,Security requirements,Formal methods and theory of security
90,10002978_2,Formal security models,Formal methods and theory of security
91,10002978_2,Trust frameworks,Formal methods and theory of security
92,10002978_2,Logic and verification,Formal methods and theory of security
93,10002978_3,Authentication,Security services
94,10002978_3,Authorization,Security services
95,10002978_3,Access control,Authorization
96,10002978_3,Multi-factor authentication,Authentication
97,10002978_3,Biometrics,Authentication
98,10002978_3,"Pseudonymity, anonymity and untraceability",Security services
99,10002978_3,Digital rights management,Security services
100,10002978_3,Graphical / visual passwords,Authentication
101,10002978_3,Privacy-preserving protocols,Security services
102,10002978_4,Intrusion/anomaly detection and malware mitigation,Artificial immune systems
103,10002978_4,Phishing,Intrusion/anomaly detection and malware mitigation
104,10002978_4,Spoofing attacks,Intrusion/anomaly detection and malware mitigation
105,10002978_4,Social engineering attacks,Phishing
106,10002978_4,Malware and its mitigation,Intrusion/anomaly detection and malware mitigation
107,10002978_4,Intrusion detection systems,Intrusion/anomaly detection and malware mitigation
108,10002978_5,Security in hardware,Hardware security
109,10002978_5,Hardware attacks and countermeasures,Hardware security
110,10002978_5,Embedded systems security,Hardware security
111,10002978_5,Hardware-based security protocols,Hardware security
112,10002978_5,Tamper-proof and tamper-resistant designs,Hardware security
113,10002978_5,Side-channel analysis and countermeasures,Hardware security
