,group,child,parent
0,10,exposure,influence
1,10,manipulation,influence
2,10,seduction,influence
3,10,ingratiation,influence
4,10,cross-pollination,influence
5,10,impingement,influence
6,10,overexposure,exposure
7,10,underexposure,exposure
8,10,mind game,manipulation
9,10,hypnotism,manipulation
10,10,enticement,seduction
11,10,solicitation,seduction
12,10,blandishment,seduction
13,10,leading astray,seduction
14,101,tent,shelter
15,101,hut,shelter
16,101,dugout,shelter
17,101,refuge,shelter
18,101,safehold,shelter
19,101,praetorium,shelter
20,101,cookhouse,shelter
21,101,loft,shelter
22,101,sconce,shelter
23,101,pavilion,shelter
24,101,mantelet,shelter
25,101,lean-to tent,tent
26,101,fly tent,tent
27,101,mountain tent,tent
28,101,backpacking tent,tent
29,101,umbrella tent,tent
30,101,wall tent,tent
31,101,pup tent,tent
32,101,cabana,tent
33,101,circus tent,tent
34,101,canvas tent,tent
35,101,field tent,tent
36,101,bell tent,tent
37,101,Sibley tent,tent
38,101,pyramidal tent,tent
39,101,two-man tent,tent
40,101,pop tent,tent
41,101,cottage tent,tent
42,101,mudhif,hut
43,101,tupik,hut
44,101,Nissen hut,hut
45,101,igloo,hut
46,101,hovel,hut
47,101,fallout shelter,refuge
48,101,storm cellar,refuge
49,101,safe house,refuge
50,101,haven,refuge
51,101,harbor,refuge
52,105,drum,percussion instrument
53,105,snare drum,drum
54,105,bass drum,drum
55,105,tenor drum,drum
56,105,tabor,drum
57,105,bongo,percussion instrument
58,105,steel drum,percussion instrument
59,105,lagerphone,percussion instrument
60,105,tambour,percussion instrument
61,105,tambourine,tambour
62,105,timbrel,tambourine
63,105,cymbal,percussion instrument
64,105,high-hat cymbal,cymbal
65,105,zill,cymbal
66,105,gong,percussion instrument
67,105,glockenspiel,percussion instrument
68,105,marimba,percussion instrument
69,105,vibraphone,percussion instrument
70,105,chime,percussion instrument
71,105,carillon,percussion instrument
72,105,handbell,percussion instrument
73,105,piano,percussion instrument
74,105,grand piano,piano
75,105,concert grand,grand piano
76,105,baby grand,grand piano
77,105,spinet,piano
78,105,upright,piano
79,105,mechanical piano,piano
80,105,triangle,percussion instrument
81,105,rain stick,percussion instrument
82,105,bones,percussion instrument
83,105,maraca,percussion instrument
84,13,coefficient of friction,coefficient
85,13,coefficient of viscosity,coefficient
86,13,coefficient of expansion,coefficient
87,13,coefficient of reflection,coefficient
88,13,drag coefficient,coefficient
89,13,coefficient of self induction,coefficient
90,13,coefficient of mutual induction,coefficient
91,13,absorption coefficient,coefficient
92,13,coefficient of elasticity,coefficient
93,13,bulk modulus,modulus
94,13,modulus of rigidity,modulus
95,13,Young's modulus,modulus
96,137,macrocytic anemia,anemia
97,137,microcytic anemia,anemia
98,137,hemolytic anemia,anemia
99,137,aplastic anemia,anemia
100,137,refractory anemia,anemia
101,137,hypochromic anemia,anemia
102,137,chlorosis,anemia
103,137,erythroblastosis fetalis,anemia
104,137,megaloblastic anemia,macrocytic anemia
105,137,pernicious anemia,megaloblastic anemia
106,137,iron deficiency anemia,microcytic anemia
107,137,sideroblastic anemia,microcytic anemia
108,137,thalassemia,microcytic anemia
109,137,Cooley's anemia,thalassemia
110,137,sickle-cell anemia,hemolytic anemia
111,137,favism,hemolytic anemia
112,137,Fanconi's anemia,aplastic anemia
113,137,hypoplastic anemia,aplastic anemia
114,137,metaplastic anemia,refractory anemia
115,137,hyperchromic anemia,hypochromic anemia
116,137,ischemia,ischemic conditions
117,137,ischemic stroke,ischemia
118,137,transient ischemic attack,ischemia
119,138,marriage,marital status
120,138,bachelorhood,marital status
121,138,spinsterhood,marital status
122,138,widowhood,marital status
123,138,monogamy,marriage
124,138,polygamy,marriage
125,138,bigamy,marriage
126,138,common-law marriage,marriage
127,138,civil union,marriage
128,138,open marriage,marriage
129,138,marriage of convenience,marriage
130,138,serial monogamy,marriage
131,138,monogyny,monogamy
132,138,monandry,monogamy
133,138,polygyny,polygamy
134,138,polyandry,polygamy
135,138,misalliance,marriage
136,138,mesalliance,marriage
137,138,cuckoldom,marriage
138,138,sigeh,marriage
139,138,exogamy,marriage
140,138,endogamy,marriage
141,15,air travel,flight
142,15,sortie,flight
143,15,maiden flight,flight
144,15,terrain flight,flight
145,15,ballooning,flight
146,15,glide,flight
147,15,acrobatics,flight
148,15,blind flying,flight
149,15,solo,flight
150,15,pass,flight
151,15,overflight,air travel
152,15,flyover,air travel
153,15,hang gliding,glide
154,15,parasailing,glide
155,15,tailspin,acrobatics
156,150,sick joke,joke
157,150,in-joke,joke
158,150,ethnic joke,joke
159,150,dirty joke,joke
160,150,shaggy dog story,joke
161,150,funny story,joke
162,150,sight gag,joke
163,150,pun,joke
164,150,one-liner,joke
165,150,topper,joke
166,150,belly laugh,joke
167,150,wit,joke
168,150,repartee,wit
169,150,bon mot,wit
170,150,jeu d'esprit,wit
171,150,esprit de l'escalier,wit
172,150,sarcasm,wit
173,150,ribaldry,wit
174,150,banter,wit
175,150,badinage,wit
176,150,persiflage,wit
177,150,waggery,wit
178,150,parody,wit
179,150,mock-heroic,wit
180,150,comic strip,joke
181,150,cartoon,joke
182,150,caricature,cartoon
183,150,drollery,wit
184,150,jocosity,wit
185,150,pungency,wit
186,17,elementary education,education
187,17,secondary education,education
188,17,higher education,education
189,17,adult education,education
190,17,course,education
191,17,athletics,education
192,17,extracurricular activity,education
193,17,team teaching,education
194,17,coeducation,education
195,17,continuing education,education
196,17,extension,education
197,17,home study,education
198,17,required course,course
199,17,elective course,course
200,17,orientation course,course
201,17,propaedeutic,course
202,17,course of lectures,course
203,17,seminar,course
204,17,directed study,course
205,17,work-study program,course
206,17,extension course,course
207,17,correspondence course,course
208,17,refresher course,course
209,17,art class,course
210,17,life class,course
211,17,industrial arts,course
212,17,shop class,course
213,17,dramatics,course
214,17,childbirth-preparation class,course
215,17,workshop,course
216,171,woodpecker,piciform bird
217,171,flicker,woodpecker
218,171,sapsucker,woodpecker
219,171,piculet,piciform bird
220,171,wryneck,piciform bird
221,171,toucan,piciform bird
222,171,toucanet,piciform bird
223,171,barbet,piciform bird
224,171,honey guide,piciform bird
225,171,jacamar,piciform bird
226,171,puffbird,piciform bird
227,171,green woodpecker,woodpecker
228,171,redheaded woodpecker,woodpecker
229,171,downy woodpecker,woodpecker
230,171,ivorybill,woodpecker
231,171,red-shafted flicker,flicker
232,171,yellow-shafted flicker,flicker
233,171,gilded flicker,flicker
234,171,yellow-bellied sapsucker,sapsucker
235,171,red-breasted sapsucker,sapsucker
236,177,guillemot,auk
237,177,murre,auk
238,177,auklet,auk
239,177,razorbill,auk
240,177,little auk,auk
241,177,great auk,auk
