,child,parent,group
0,liter,metric_capacity_unit,514
1,kiloliter,metric_capacity_unit,514
2,hectoliter,metric_capacity_unit,514
3,milliliter,metric_capacity_unit,514
4,centiliter,metric_capacity_unit,514
5,deciliter,metric_capacity_unit,514
6,millimeter,metric_linear_unit,514
7,centimeter,metric_linear_unit,514
8,decimeter,metric_linear_unit,514
9,meter,metric_linear_unit,514
10,hectometer,metric_linear_unit,514
11,metric_weight_unit,metric_unit,514
12,metric_capacity_unit,metric_unit,514
13,metric_linear_unit,metric_unit,514
14,gram,metric_weight_unit,514
15,kilogram,metric_weight_unit,514
16,metric_ton,metric_weight_unit,514
17,milligram,metric_weight_unit,514
18,dekagram,metric_weight_unit,514
19,quintal,metric_weight_unit,514
0,dalai_lama,lama,515
1,panchen_lama,lama,515
2,vestal_virgin,priest,515
3,flamen,priest,515
4,votary,priest,515
5,druid,priest,515
6,lama,priest,515
7,magus,priest,515
8,shaman,priest,515
9,medicine_man,shaman,515
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,tau_coefficient_of_correlation,correlation_coefficient,5
2,biserial_correlation_coefficient,correlation_coefficient,5
3,arithmetic_mean,mean,5
4,geometric_mean,mean,5
5,harmonic_mean,mean,5
6,kendall_test,nonparametric_statistic,5
7,coefficient_of_concordance,nonparametric_statistic,5
8,parametric_statistic,statistic,5
9,time_series,statistic,5
10,nonparametric_statistic,statistic,5
0,virginia_reel,reel,8
0,heroin_addict,addict,9
1,opium_addict,addict,9
2,caffeine_addict,addict,9
0,overexposure,exposure,10
1,underexposure,exposure,10
2,ingratiation,influence,10
3,exposure,influence,10
4,manipulation,influence,10
5,cross-pollination,influence,10
6,impingement,influence,10
7,solicitation,influence,10
8,hypnotism,influence,10
0,coefficient_of_reflection,coefficient,13
1,coefficient_of_viscosity,coefficient,13
2,coefficient_of_mutual_induction,coefficient,13
3,coefficient_of_self_induction,coefficient,13
4,coefficient_of_expansion,coefficient,13
5,coefficient_of_friction,coefficient,13
6,coefficient_of_elasticity,coefficient,13
7,drag_coefficient,coefficient,13
8,modulus,coefficient,13
9,absorption_coefficient,coefficient,13
10,young's_modulus,modulus,13
11,bulk_modulus,modulus,13
12,modulus_of_rigidity,modulus,13
0,diet,abstinence,525
1,chastity,abstinence,525
2,sobriety,abstinence,525
3,hunger_strike,fast,525
0,ballooning,flight,15
1,parasailing,flight,15
2,acrobatics,flight,15
3,solo,flight,15
4,terrain_flight,flight,15
5,glide,flight,15
6,blind_flying,flight,15
7,tailspin,flight,15
8,pass,flight,15
9,air_travel,flight,15
0,elective_course,course,17
1,seminar,course,17
2,directed_study,course,17
3,elementary_education,education,17
4,secondary_education,education,17
5,higher_education,education,17
6,adult_education,education,17
0,petit_larceny,larceny,531
1,grand_larceny,larceny,531
2,shoplifting,larceny,531
3,pilferage,larceny,531
4,plunderage,larceny,531
5,robbery,larceny,531
6,rustling,larceny,531
7,embezzlement,larceny,531
8,highway_robbery,robbery,531
9,armed_robbery,robbery,531
0,accused,defendant,532
1,codefendant,defendant,532
2,defendant,litigant,532
3,plaintiff,litigant,532
4,respondent,litigant,532
0,kindheartedness,compassion,535
0,true_marmoset,marmoset,24
1,pygmy_marmoset,marmoset,24
2,howler_monkey,new_world_monkey,24
3,uakari,new_world_monkey,24
4,tamarin,new_world_monkey,24
5,squirrel_monkey,new_world_monkey,24
6,marmoset,new_world_monkey,24
7,capuchin,new_world_monkey,24
8,saki,new_world_monkey,24
9,spider_monkey,new_world_monkey,24
10,titi,new_world_monkey,24
11,woolly_monkey,new_world_monkey,24
12,silky_tamarin,tamarin,24
0,bunch,agglomeration,28
1,ball,agglomeration,28
2,knot,agglomeration,28
3,clot,agglomeration,28
4,coma,agglomeration,28
5,thrombus,clot,28
0,duck_down,down,33
1,goose_down,down,33
2,swan's_down,down,33
3,eiderdown,down,33
4,flight_feather,feather,33
