,group,child,parent
0,10002950_1,Graphs and surfaces,Graph theory
1,10002950_1,Graph algorithms,Graph theory
2,10002950_1,Graph enumeration,Graph theory
3,10002950_1,Graph coloring,Graph theory
4,10002950_1,Network flows,Graph theory
5,10002950_1,Paths and connectivity problems,Graph theory
6,10002950_1,Trees,Graph theory
7,10002950_1,Hypergraphs,Graph theory
8,10002950_1,Random graphs,Graph theory
9,10002950_1,Combinatoric problems,Combinatorics
10,10002950_1,Generating functions,Combinatorics
11,10002950_1,Combinatorial optimization,Combinatorics
12,10002950_1,Combinatorial algorithms,Combinatorics
13,10002950_1,Approximation algorithms,Combinatorial optimization
14,10002950_1,Matroids and greedoids,Combinatorics
15,10002950_1,Extremal graph theory,Graph theory
16,10002950_1,Spectra of graphs,Graph theory
17,10002950_1,Permutations and combinations,Combinatorics
18,10002950_4,Nonconvex optimization,Mathematical optimization
19,10002950_4,Stochastic control and optimization,Mathematical optimization
20,10002950_4,Continuous optimization,Mathematical optimization
21,10002950_4,Discrete optimization,Mathematical optimization
22,10002950_4,Mixed discrete-continuous optimization,Mathematical optimization
23,10002950_4,Optimization with randomized search heuristics,Mathematical optimization
24,10002950_4,Genetic programming,Mathematical optimization
25,10002950_4,Simulated annealing,Mathematical optimization
26,10002950_4,Tabu search,Mathematical optimization
27,10002950_4,Randomized local search,Mathematical optimization
28,10002950_4,Bio-inspired optimization,Mathematical optimization
29,10002950_4,Calculus,Mathematical optimization
30,10002950_4,Differential calculus,Mathematical optimization
31,10002950_4,Integral calculus,Mathematical optimization
32,10002950_4,Mathematical analysis,Mathematical optimization
33,10002950_4,Numerical analysis,Mathematical optimization
34,10002950_4,Ordinary differential equations,Mathematical optimization
35,10002950_4,Partial differential equations,Mathematical optimization
36,10002950_4,Differential algebraic equations,Mathematical optimization
37,10002950_4,Integral equations,Mathematical optimization
38,10002950_4,Linear programming,Mathematical optimization
39,10002950_4,Quadratic programming,Mathematical optimization
40,10002950_4,Integer programming,Mathematical optimization
41,10002950_4,Semidefinite programming,Mathematical optimization
42,10002950_4,Submodular optimization and polymatroids,Mathematical optimization
43,10002950_4,Nonlinear equations,Mathematical optimization
44,10002950_4,Non-parametric optimization,Mathematical optimization
45,10002950_4,Approximations,Mathematical optimization
46,10002950_4,Computations on matrices,Mathematical optimization
47,10002950_4,Mesh generation,Mathematical optimization
48,10002950_4,Gröbner bases and other special bases,Mathematical optimization
49,10002950_4,Interval arithmetic,Mathematical optimization
50,10002950_4,Computations on polynomials,Mathematical optimization
51,10002950_4,Computation of transforms,Mathematical optimization
52,10002950_4,Automatic differentiation,Mathematical optimization
53,10002950_4,Discretization,Mathematical optimization
54,10002950_4,Quadrature,Mathematical optimization
55,10002950_4,Numerical differentiation,Mathematical optimization
56,10002950_5,Point-set topology,Topology
57,10002950_5,Geometric topology,Topology
58,10002950_5,Continuous functions,Point-set topology
59,10002950_5,Continuous mathematics,Point-set topology
60,10002950_5,Calculus,Continuous mathematics
61,10002950_5,Algebraic topology,Topology
62,10002951_3,Data management and analytics,Information systems applications
63,10002951_3,Data warehouses,Data management and analytics
64,10002951_3,Data mining,Data management and analytics
65,10002951_3,Online analytical processing,Data management and analytics
66,10002951_3,Data cleaning,Data management and analytics
67,10002951_3,Data stream mining,Data management and analytics
68,10002951_3,Data analytics,Data management and analytics
69,10002951_3,Collaborative and social computing,Information systems applications
70,10002951_3,Collaborative filtering,Collaborative and social computing
71,10002951_3,Social networking sites,Collaborative and social computing
72,10002951_3,Wikis,Collaborative and social computing
73,10002951_3,Blogs,Collaborative and social computing
74,10002951_3,Reputation systems,Collaborative and social computing
75,10002951_3,Geographic and sensor systems,Information systems applications
76,10002951_3,Global positioning systems,Geographic and sensor systems
77,10002951_3,Geographic information systems,Geographic and sensor systems
78,10002951_3,Sensor networks,Geographic and sensor systems
79,10002951_3,Computer systems and platforms,Information systems applications
80,10002951_3,Data centers,Computer systems and platforms
81,10002951_3,Computing platforms,Computer systems and platforms
82,10002951_3,Mobile information processing systems,Computer systems and platforms
83,10002951_3,Application types,Information systems applications
84,10002951_3,Expert systems,Application types
85,10002951_3,Decision support systems,Application types
86,10002951_3,Process control systems,Application types
87,10002951_3,Multimedia content creation,Application types
88,10002951_3,Massively multiplayer online games,Application types
89,10002951_3,Multimedia databases,Application types
90,10002951_3,Development tools,Information systems applications
91,10002951_3,Synchronous editors,Development tools
92,10002951_3,Asynchronous editors,Development tools
93,10002951_3,Open source software,Development tools
94,10002951_3,Information sharing and content,Information systems applications
95,10002951_3,Digital libraries and archives,Information sharing and content
96,10002951_3,Multimedia streaming,Information sharing and content
97,10002951_3,Spatial-temporal systems,Information sharing and content
98,10002951_3,Enterprise systems,Information systems applications
99,10002951_3,Enterprise resource planning,Enterprise systems
100,10002951_3,Enterprise information systems,Enterprise systems
101,10002951_3,Data relationships,Information systems applications
102,10002951_3,Clustering,Data relationships
103,10002951_3,Association rules,Data relationships
104,10002951_3,Nearest-neighbor search,Data relationships
105,10002978_1,Symmetric cryptography and hash functions,Cryptography
106,10002978_1,Hash functions and message authentication codes,Symmetric cryptography and hash functions
107,10002978_1,Public key encryption,Cryptography
108,10002978_1,Public key (asymmetric) techniques,Public key encryption
109,10002978_1,Digital signatures,Public key encryption
110,10002978_1,Block and stream ciphers,Symmetric cryptography and hash functions
111,10002978_1,Cryptanalysis and other attacks,Cryptography
112,10002978_1,Key management,Cryptography
113,10002978_1,Mathematical foundations of cryptography,Cryptography
114,10002978_10,Economics of security and privacy,Security and Privacy Economics
115,10002978_10,Human and societal aspects of security and privacy,Security and Privacy Economics
116,10002978_10,Privacy protections,Security and Privacy Economics
117,10002978_10,Usability in security and privacy,Security and Privacy Economics
118,10002978_10,Social aspects of security and privacy,Security and Privacy Economics
119,10002978_2,Formal security models,Formal methods and theory of security
120,10002978_2,Security requirements,Formal methods and theory of security
121,10002978_2,Trust frameworks,Formal methods and theory of security
122,10002978_2,Logic and verification,Formal methods and theory of security
123,10002978_3,Security services,Security services
124,10002978_3,Authentication,Security services
125,10002978_3,Authorization,Security services
126,10002978_3,Multi-factor authentication,Authentication
127,10002978_3,Access control,Authorization
128,10002978_3,Privacy-preserving protocols,Security services
129,10002978_3,"Pseudonymity, anonymity, and untraceability",Privacy-preserving protocols
130,10002978_3,Biometrics,Authentication
131,10002978_3,Digital rights management,Security services
132,10002978_3,Graphical / visual passwords,Authentication
133,10002978_4,Intrusion/anomaly detection and malware mitigation,Malware and its mitigation
134,10002978_4,Intrusion detection systems,Intrusion/anomaly detection and malware mitigation
135,10002978_4,Social engineering attacks,Malware and its mitigation
136,10002978_4,Phishing,Social engineering attacks
137,10002978_4,Spoofing attacks,Social engineering attacks
138,10002978_4,Artificial immune systems,Malware and its mitigation
139,10002978_5,Hardware security implementation,Security in hardware
140,10002978_5,Hardware-based security protocols,Hardware security implementation
141,10002978_5,Hardware attacks and countermeasures,Security in hardware
142,10002978_5,Side-channel analysis and countermeasures,Hardware attacks and countermeasures
143,10002978_5,Tamper-proof and tamper-resistant designs,Security in hardware
144,10002978_5,Malicious design modifications,Hardware attacks and countermeasures
145,10002978_5,Embedded systems security,Security in hardware
146,10002978_5,Hardware reverse engineering,Security in hardware
147,10002978_6,File system security,Systems security
148,10002978_6,Operating systems security,Systems security
149,10002978_6,Browser security,Systems security
150,10002978_6,Mobile platform security,Systems security
151,10002978_6,Virtualization and security,Systems security
152,10002978_6,Trusted computing,Systems security
153,10002978_6,Information flow control,Systems security
154,10002978_6,Vulnerability management,Systems security
155,10002978_6,Vulnerability scanners,Vulnerability management
156,10002978_6,Penetration testing,Vulnerability management
157,10002978_6,Denial-of-service attacks,Systems security
158,10002978_6,Distributed systems security,Systems security
159,10002978_8,Data anonymization and sanitization,Database and storage security
160,10002978_8,Information accountability and usage control,Database and storage security
161,10002978_8,Management and querying of encrypted data,Database and storage security
162,10002978_8,Database activity monitoring,Database and storage security
163,10002978_9,Web application security,Software and application security
164,10002978_9,Software security engineering,Software and application security
165,10002978_9,Software reverse engineering,Software and application security
166,10002978_9,Social network security and privacy,Software and application security
167,10002978_9,Domain-specific security and privacy architectures,Software and application security
168,10003033_1,Network design principles,Network architectures
169,10003033_1,Layering,Network architectures
170,10003033_1,Programming interfaces,Network architectures
171,10003033_1,Naming and addressing,Network architectures
172,10003033_2,Transport protocols,Network protocols
173,10003033_2,Session protocols,Network protocols
174,10003033_2,Application layer protocols,Network protocols
175,10003033_2,Link-layer protocols,Network protocols
176,10003033_2,Network layer protocols,Network protocols
177,10003033_2,Cross-layer protocols,Network protocols
178,10003033_2,Signaling protocols,Network protocols
179,10003033_2,OAM protocols,Network protocols
180,10003033_2,Peer-to-peer protocols,Network protocols
181,10003033_2,Time synchronization protocols,Network protocols
182,10003033_2,Network File System (NFS) protocol,Network protocols
183,10003033_2,Network policy,Network protocols
184,10003033_2,Protocol design,Network protocols
185,10003033_2,Formal specifications,Protocol design
186,10003033_2,Protocol testing and verification,Protocol design
187,10003033_2,Protocol correctness,Protocol design
188,10003033_3,Network servers,Network components
189,10003033_3,Network domains,Network components
190,10003033_3,Physical links,Network components
191,10003033_3,Network adapters,Network components
192,10003033_3,Intermediate nodes,Network components
193,10003033_3,End nodes,Network components
194,10003033_3,Logical nodes,Network components
195,10003033_3,Bridges and switches,Network components
196,10003033_3,Routers,Network components
197,10003033_3,Wireless access points,Network components
198,10003033_3,Base stations and infrastructure,Wireless access points
199,10003033_3,Repeaters,Network components
200,10003033_3,Middle boxes / network appliances,Network components
201,10003033_3,Cognitive radios,Network components
202,10003033_4,Network design and planning algorithms,Network algorithms
203,10003033_4,Traffic engineering algorithms,Network algorithms
204,10003033_4,Network resources allocation,Network algorithms
205,10003033_4,Control path algorithms,Network algorithms
206,10003033_4,Data path algorithms,Network algorithms
207,10003033_4,Network control algorithms,Network algorithms
208,10003033_4,Packet classification,Network algorithms
209,10003033_4,Deep packet inspection,Packet classification
210,10003033_4,Packet scheduling,Network algorithms
211,10003033_5,Network measurement,Network performance evaluation
212,10003033_5,Network performance analysis,Network performance evaluation
213,10003033_5,Network performance modeling,Network performance evaluation
214,10003033_5,Network simulations,Network performance modeling
215,10003033_5,Network experimentation,Network performance evaluation
216,10003033_6,Network topology types,Network structure
217,10003033_6,Physical topologies,Network topology types
218,10003033_6,Logical / virtual topologies,Network topology types
219,10003033_6,Bus networks,Network topology types
220,10003033_6,Star networks,Network topology types
221,10003033_6,Ring networks,Network topology types
222,10003033_6,Token ring networks,Ring networks
223,10003033_6,Mesh networks,Network topology types
224,10003033_6,Wireless mesh networks,Mesh networks
225,10003033_6,Hybrid networks,Network topology types
226,10003033_6,Local area networks,Network topology types
227,10003033_6,Metropolitan area networks,Network topology types
228,10003033_6,Wide area networks,Network topology types
229,10003033_6,Very long-range networks,Wide area networks
230,10003033_6,Short-range networks,Local area networks
231,10003033_6,Network properties,Network structure
232,10003033_6,Network mobility,Network properties
233,10003033_6,Network dynamics,Network properties
234,10003033_6,Network reliability,Network properties
235,10003033_6,Network manageability,Network properties
236,10003033_6,Network security,Network properties
237,10003033_6,Network privacy and anonymity,Network security
238,10003033_6,Error detection and error correction,Network reliability
239,10003033_6,Topology analysis and generation,Network structure
240,10003033_6,Network range,Network properties
241,10003033_7,Network monitoring,Network management
242,10003033_7,Naming and addressing,Network management
