,0
0,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""filter_shape""]
    3 --> 4[""unique""]
    4 --> 5[""same_shape""]
    5 --> 6[""count""]
"
1,"
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    1 --> 6[""filter_color_gray""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    5 --> 9[""And""]
    8 --> 9
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""count""]
"
2,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    1 --> 5[""filter_size_small""]
    5 --> 6[""filter_shape_sphere""]
    6 --> 7[""same_color""]
    7 --> 8[""relate_in_front""]
    4 --> 8
    8 --> 9[""count""]
"
3,"
graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_shape_cube""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    1 --> 6[""filter_material_rubber""]
    6 --> 7[""filter_color_red""]
    7 --> 8[""and""]
    5 --> 8
    1 --> 9[""filter_material_metal""]
    9 --> 10[""filter_shape_cube""]
    10 --> 11[""and""]
    5 --> 11
    8 --> 12[""or""]
    11 --> 12
    12 --> 13[""count""]
"
4,"
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""unique""]
    3 --> 4[""relate_left""]
    1 --> 5[""filter_shape_cylinder""]
    5 --> 6[""unique""]
    6 --> 7[""relate_behind""]
    4 --> 7
    7 --> 8[""filter_size_large""]
    8 --> 9[""filter_material_metal""]
    9 --> 10[""unique""]
    10 --> 11[""relate_right""]
    8 --> 11
    11 --> 12[""filter_size_large""]
    12 --> 13[""count""]
"
5,"
graph LR
    1[""scene""] --> 2[""filter_shape_cube""]
    2 --> 3[""unique""]
    3 --> 4[""relate_behind""]
    1 --> 5[""filter_color_brown""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    4 --> 8[""equal_size""]
    7 --> 8
"
6,"
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_blue""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    6 --> 7[""query_color""]
    1 --> 8[""filter_size_small""]
    8 --> 9[""filter_shape_sphere""]
    9 --> 10[""unique""]
    10 --> 11[""query_color""]
    7 --> 12[""equal""]
    11 --> 12
"
7,"
graph LR
    1[""scene""] --> 2[""filter_material_metal""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    1 --> 6[""filter_size_small""]
    6 --> 7[""unique""]
    1 --> 8[""filter_color_blue""]
    8 --> 9[""filter_size_large""]
    9 --> 10[""unique""]
    5 --> 11[""equal_shape""]
    7 --> 11
    10 --> 11
"
8,"
graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    1 --> 5[""filter_size_small""]
    5 --> 6[""filter_material_metal""]
    4 --> 6
    1 --> 7[""filter_material_metal""]
    7 --> 8[""filter_shape_cube""]
    8 --> 9[""unique""]
    6 --> 10[""equal_color""]
    9 --> 10
"
9,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    1 --> 5[""filter_material_rubber""]
    5 --> 6[""OR""]
    1 --> 7[""filter_material_metal""]
    7 --> 6
    4 --> 8[""less_than""]
    6 --> 8
"
10,"
graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_color_gray""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    6 --> 7[""filter_size_large""]
    7 --> 8[""filter_shape_sphere""]
    8 --> 9[""unique""]
    9 --> 10[""query_color""]
"
11,"
graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_shape_sphere""]
    3 --> 4[""unique""]
    1 --> 5[""filter_size_large""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    4 --> 8[""relate_behind""]
    7 --> 9[""relate_left""]
    8 --> 10[""And""]
    9 --> 10
    10 --> 11[""filter_shape""]
    11 --> 12[""unique""]
    12 --> 13[""query_size""]
"
12,"
graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    1 --> 5[""filter_color_purple""]
    5 --> 6[""unique""]
    6 --> 7[""relate_in_front""]
    4 --> 8[""relate_behind""]
    7 --> 9[""And""]
    8 --> 9
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""unique""]
    11 --> 12[""query_shape""]
"
