,0
0,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""query_shape""]
"
1,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    1 --> 6[""filter_color_gray""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 9[""AND""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""count""]
"
2,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""query_color""]
"
3,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 6[""filter_color_red""]
    5 --> 8[""filter_material_metal""]
    6 --> 7[""filter_material_rubber""]
    7 --> 9[""OR""]
    8 --> 9
    9 --> 10[""count""]
"
4,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_left""]
    5 --> 9[""filter_shape_cylinder""]
    7[""unique""] --> 8[""relate_in_front""]
    8 --> 11[""filter_size_large""]
    9 --> 7
    11 --> 12[""unique""]
    12 --> 13[""relate_right""]
    13 --> 14[""filter_size_large""]
    14 --> 15[""count""]
"
5,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    1 --> 6[""filter_shape_cube""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_shape_cylinder""]
    4 --> 11[""unique""]
    5[""unique""] --> 10[""equal_size""]
    6 --> 7[""unique""]
    7 --> 8[""relate_behind""]
    8 --> 5
    11 --> 10
"
6,"graph LR
    1[""scene""] --> 2[""filter_color_blue""]
    1 --> 8[""filter_size_small""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_size_large""]
    4 --> 5[""unique""]
    5 --> 6[""relate_right""]
    6 --> 13[""filter_material_rubber""]
    8 --> 9[""filter_material_rubber""]
    9 --> 10[""unique""]
    10 --> 12[""equal_color""]
    13 --> 14[""unique""]
    14 --> 12
"
7,"graph LR
    1[""scene""] --> 6[""filter_color_blue""]
    1 --> 11[""filter_size_small""]
    5[""relate_right""] --> 15[""unique""]
    6 --> 7[""filter_size_large""]
    7 --> 8[""unique""]
    8 --> 14[""equal_shape""]
    10[""unique""] --> 5
    11 --> 10
    15 --> 14
"
8,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    1 --> 8[""filter_shape_cube""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    4 --> 5[""filter_size_small""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 13[""equal_color""]
    8 --> 9[""filter_material_rubber""]
    9 --> 10[""unique""]
    10 --> 13
"
9,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 9[""filter_material_metal""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    4 --> 8[""filter_shape_sphere""]
    5[""count""] --> 7[""less_than""]
    6[""count""] --> 7
    8 --> 5
    9 --> 6
"
10,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_gray""]
    3 --> 12[""filter_material_rubber""]
    5[""filter_shape_cylinder""] --> 6[""unique""]
    6 --> 7[""relate_right""]
    7 --> 9[""filter_shape_sphere""]
    9 --> 10[""unique""]
    10 --> 11[""query_color""]
    12 --> 5
"
11,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 4[""filter_size_small""]
    2 --> 3[""unique""]
    3 --> 7[""relate_left""]
    4 --> 5[""filter_shape_sphere""]
    5 --> 6[""unique""]
    6 --> 8[""relate_behind""]
    7 --> 9[""AND""]
    8 --> 9
    9 --> 10[""filter_shape_cylinder""]
    10 --> 11[""unique""]
    11 --> 12[""query_size""]
"
12,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
    1 --> 6[""filter_color_purple""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 14[""And""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 8[""unique""]
    8 --> 9[""relate_in_front""]
    9 --> 14
    10[""filter_material_rubber""] --> 11[""unique""]
    11 --> 12[""query_shape""]
    14 --> 10
"
13,"graph LR
    1[""scene""] --> 3[""filter_color_red""]
    3 --> 4[""filter_shape_cube""]
    4 --> 5[""unique""]
    5 --> 6[""query_material""]
"
14,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""unique""]
    4 --> 8[""same_shape""]
    6[""filter_material_metal""] --> 11[""unique""]
    8 --> 6
    11 --> 10[""query_size""]
"
15,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    1 --> 4[""filter_color_green""]
    2 --> 3[""filter_material_rubber""]
    3 --> 9[""OR""]
    4 --> 5[""filter_material_metal""]
    5 --> 6[""filter_size_large""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9
    9 --> 11[""count""]
"
16,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 13[""filter_color_cyan""]
    2 --> 3[""filter_color_green""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""filter_shape_cube""]
    5 --> 12[""OR""]
    6[""filter_size_small""] --> 7[""unique""]
    7 --> 8[""relate_behind""]
    8 --> 10[""filter_size_large""]
    10 --> 12
    12 --> 11[""count""]
    13 --> 6
"
17,"graph LR
    1[""scene""] --> 2[""filter_color_yellow""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_in_front""]
    5 --> 11[""filter_material_rubber""]
    6[""filter_size_large""] --> 9[""count""]
    7[""relate_behind""] --> 6
    11 --> 12[""unique""]
    12 --> 7
"
18,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 5[""count""]
"
19,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""query_color""]
"
20,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 9[""filter_color_blue""]
    2 --> 3[""filter_color_red""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""unique""]
    5 --> 6[""relate_left""]
    6 --> 7[""filter_shape_cylinder""]
    7 --> 8[""count""]
    8 --> 12[""less_than""]
    9 --> 10[""filter_shape_cylinder""]
    10 --> 11[""count""]
    11 --> 12
"
21,"graph LR
    2[""filter_color_yellow""] --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 10[""filter_size_small""]
    6[""filter_material_metal""] --> 12[""unique""]
    7[""filter_size_small""] --> 9[""filter_color_red""]
    8[""count""] --> 17[""greater_than""]
    9 --> 6
    10 --> 11[""filter_material_metal""]
    11 --> 8
    11 --> 7
    12 --> 13[""relate_in_front""]
    13 --> 14[""filter_shape_cylinder""]
    14 --> 15[""filter_size_large""]
    15 --> 16[""count""]
    16 --> 17
    19[""scene""] --> 2
"
22,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 5[""filter_color_green""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 11[""equal_color""]
    5 --> 6[""filter_material_rubber""]
    6 --> 7[""unique""]
    7 --> 8[""relate_right""]
    8 --> 10[""unique""]
    10 --> 11
"
23,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""exist""]
"
24,"graph LR
    1[""scene""] --> 5[""filter_color_gray""]
    5 --> 6[""filter_material_rubber""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 9[""exist""]
"
25,"graph LR
    1[""scene""] --> 2[""filter_material_rubber""]
    2 --> 3[""unique""]
    3 --> 4[""relate_in_front""]
    4 --> 5[""filter_size_large""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 8[""query_color""]
"
26,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 8[""unique""]
    8 --> 6[""query_shape""]
"
27,"graph LR
    1[""scene""] --> 3[""filter_size_large""]
    2[""filter_material_rubber""] --> 4[""unique""]
    3 --> 2
    4 --> 15[""same_color""]
    8[""unique""] --> 9[""query_shape""]
    15 --> 8
"
28,"graph LR
    1[""scene""] --> 2[""filter_material_metal""]
    2 --> 3[""filter_shape_cube""]
    3 --> 4[""unique""]
    4 --> 5[""query_color""]
"
29,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_red""]
    3 --> 4[""unique""]
    4 --> 5[""relate_in_front""]
    5 --> 10[""unique""]
    6[""filter_color_red""] --> 11[""unique""]
    8[""relate_right""] --> 6
    10 --> 8
    11 --> 9[""query_material""]
"
30,"graph LR
    1[""scene""] --> 2[""filter_color_purple""]
    2 --> 3[""unique""]
    3 --> 4[""same_size""]
    4 --> 6[""count""]
"
31,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 5[""filter_color_green""]
    2 --> 3[""filter_color_purple""]
    3 --> 4[""filter_material_rubber""]
    4 --> 11[""OR""]
    5 --> 6[""unique""]
    6 --> 7[""relate_behind""]
    7 --> 8[""filter_size_large""]
    8 --> 11
    11 --> 10[""count""]
"
32,"graph LR
    1[""scene""] --> 5[""filter_shape_cylinder""]
    2[""filter_color_cyan""] --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 9[""relate_left""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""filter_size_large""]
    7 --> 8[""unique""]
    8 --> 16[""relate_left""]
    9 --> 10[""filter_shape_cube""]
    10 --> 11[""filter_size_small""]
    11 --> 12[""unique""]
    12 --> 13[""relate_behind""]
    13 --> 14[""filter_shape_sphere""]
    14 --> 15[""count""]
    16 --> 2
"
33,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""count""]
"
34,"graph LR
    1[""scene""] --> 4[""filter_size_small""]
    2[""filter_color_green""] --> 5[""unique""]
    4 --> 2
    5 --> 6[""query_material""]
"
35,"graph LR
"
36,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""unique""]
    3 --> 4[""query_material""]
"
37,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_size_large""]
    3 --> 7[""filter_shape_cube""]
    4[""unique""] --> 5[""relate_right""]
    5 --> 6[""unique""]
    6 --> 9[""relate_behind""]
    7 --> 4
    8[""filter_material_rubber""] --> 11[""exist""]
    9 --> 8
"
38,"graph LR
    1[""scene""] --> 8[""filter_color_green""]
    1 --> 3[""filter_size_large""]
    2[""filter_shape_sphere""] --> 4[""unique""]
    3 --> 2
    4 --> 5[""relate_right""]
    5 --> 6[""filter_color_gray""]
    6 --> 7[""unique""]
    7 --> 15[""equal_size""]
    8 --> 9[""unique""]
    9 --> 10[""relate_behind""]
    10 --> 11[""filter_shape_cylinder""]
    11 --> 12[""unique""]
    12 --> 15
"
39,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 7[""filter_color_red""]
    2 --> 3[""filter_color_gray""]
    3 --> 4[""filter_material_rubber""]
    4 --> 5[""filter_shape_cylinder""]
    5 --> 6[""count""]
    6 --> 10[""equal_integer""]
    7 --> 8[""filter_shape_cube""]
    8 --> 9[""count""]
    9 --> 10
"
40,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 5[""relate_left""]
    5 --> 16[""filter_shape_sphere""]
    7[""unique""] --> 8[""relate_in_front""]
    8 --> 13[""filter_shape_cylinder""]
    9[""filter_size_small""] --> 7
    10[""filter_color_cyan""] --> 9
    11[""unique""] --> 17[""relate_behind""]
    12[""filter_color_brown""] --> 14[""unique""]
    13 --> 12
    14 --> 15[""query_size""]
    16 --> 11
    17 --> 10
"
41,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_red""]
    3 --> 4[""unique""]
    4 --> 5[""query_material""]
"
42,"graph LR
    1[""scene""] --> 2[""filter_color_yellow""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_size_large""]
    4 --> 5[""unique""]
    5 --> 6[""relate_behind""]
    6 --> 7[""filter_material_metal""]
    7 --> 8[""unique""]
    8 --> 9[""query_size""]
"
43,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""query_size""]
"
44,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""query_material""]
"
45,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    1 --> 4[""filter_color_yellow""]
    1 --> 9[""filter_size_small""]
    2 --> 3[""unique""]
    3 --> 8[""relate_in_front""]
    4 --> 5[""filter_size_large""]
    5 --> 7[""filter_material_metal""]
    7 --> 16[""AND""]
    8 --> 16
    9 --> 11[""unique""]
    11 --> 12[""relate_right""]
    12 --> 13[""OR""]
    13 --> 14[""count""]
    16 --> 13
"
46,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 6[""filter_material_rubber""]
    6 --> 16[""unique""]
    7[""relate_in_front""] --> 9[""filter_color_cyan""]
    8[""filter_size_small""] --> 10[""unique""]
    9 --> 8
    10 --> 11[""relate_right""]
    11 --> 13[""filter_shape_sphere""]
    13 --> 14[""count""]
    16 --> 7
"
47,"graph LR
    1[""scene""] --> 2[""filter_material_metal""]
    1 --> 7[""filter_size_small""]
    2 --> 3[""filter_shape_cube""]
    3 --> 4[""unique""]
    4 --> 5[""relate_behind""]
    5 --> 6[""filter_size_large""]
    6 --> 10[""OR""]
    7 --> 8[""filter_material_rubber""]
    8 --> 9[""filter_shape_sphere""]
    9 --> 10
    10 --> 11[""count""]
"
48,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 8[""filter_color_yellow""]
    2 --> 3[""filter_color_yellow""]
    3 --> 7[""filter_shape_sphere""]
    4[""unique""] --> 5[""relate_behind""]
    5 --> 6[""filter_material_metal""]
    6 --> 10[""OR""]
    7 --> 10
    8 --> 9[""filter_size_small""]
    9 --> 4
    10 --> 11[""count""]
"
49,"graph LR
    1[""scene""] --> 2[""filter_color_blue""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""relate_right""]
    5 --> 6[""filter_size_small""]
    6 --> 7[""filter_material_metal""]
    7 --> 8[""unique""]
    8 --> 9[""relate_right""]
    9 --> 11[""filter_color_cyan""]
    10[""filter_size_small""] --> 12[""count""]
    11 --> 10
"
50,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    1 --> 5[""filter_shape_cylinder""]
    2 --> 4[""unique""]
    4 --> 12[""equal_size""]
    5 --> 6[""filter_color_blue""]
    6 --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 9[""filter_shape_sphere""]
    9 --> 11[""unique""]
    11 --> 12
"
51,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    1 --> 5[""filter_color_blue""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 12[""equal_size""]
    5 --> 7[""filter_shape_cylinder""]
    7 --> 8[""unique""]
    8 --> 9[""relate_in_front""]
    9 --> 10[""filter_color_green""]
    10 --> 11[""unique""]
    11 --> 12
"
52,"graph LR
    1[""scene""] --> 2[""filter_color_purple""]
    1 --> 8[""filter_color_blue""]
    2 --> 14[""filter_material_rubber""]
    4[""unique""] --> 5[""relate_in_front""]
    5 --> 6[""filter_shape_cube""]
    6 --> 7[""unique""]
    7 --> 13[""equal_material""]
    8 --> 9[""filter_shape_cube""]
    9 --> 10[""unique""]
    10 --> 13
    14 --> 4
"
53,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""filter_material_rubber""]
    4 --> 6[""exist""]
"
54,"graph LR
    1[""scene""] --> 2[""filter_material_rubber""]
    2 --> 3[""unique""]
    3 --> 4[""relate_behind""]
    4 --> 5[""filter_color_red""]
    5 --> 6[""filter_shape_cylinder""]
    6 --> 7[""exist""]
"
55,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    2 --> 21[""filter_material_metal""]
    4[""filter_size_large""] --> 5[""unique""]
    5 --> 6[""relate_in_front""]
    6 --> 8[""filter_material_rubber""]
    8 --> 9[""filter_size_small""]
    9 --> 10[""unique""]
    10 --> 11[""relate_right""]
    11 --> 12[""filter_shape_cube""]
    12 --> 13[""filter_material_rubber""]
    13 --> 14[""filter_size_large""]
    14 --> 15[""unique""]
    15 --> 16[""relate_right""]
    16 --> 17[""filter_shape_sphere""]
    17 --> 18[""unique""]
    18 --> 19[""query_size""]
    21 --> 4
"
56,"graph LR
    1[""scene""] --> 2[""filter_color_yellow""]
    1 --> 5[""filter_color_green""]
    2 --> 3[""filter_shape_cylinder""]
    3 --> 4[""unique""]
    4 --> 8[""relate_in_front""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 9[""relate_behind""]
    8 --> 10[""And""]
    9 --> 10
    10 --> 12[""filter_material_rubber""]
    12 --> 13[""unique""]
    13 --> 11[""query_size""]
"
57,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""filter_shape_sphere""]
    4 --> 5[""unique""]
    5 --> 6[""same_size""]
    6 --> 7[""unique""]
    7 --> 8[""query_shape""]
"
58,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    2 --> 3[""filter_color_blue""]
    3 --> 4[""unique""]
    4 --> 5[""query_shape""]
"
59,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 6[""filter_color_brown""]
    2 --> 14[""filter_material_metal""]
    4[""filter_color_blue""] --> 5[""unique""]
    5 --> 10[""relate_left""]
    6 --> 17[""filter_material_rubber""]
    8[""unique""] --> 9[""relate_behind""]
    9 --> 11[""And""]
    10 --> 11
    11 --> 12[""unique""]
    12 --> 13[""query_shape""]
    14 --> 4
    17 --> 8
"
60,"graph LR
    1[""scene""] --> 2[""filter_color_purple""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""filter_shape_cylinder""]
    4 --> 5[""unique""]
    5 --> 12[""same_size""]
    12 --> 9[""count""]
"
61,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 5[""same_size""]
    5 --> 6[""count""]
"
62,"graph LR
    1[""scene""] --> 2[""filter_color_cyan""]
    2 --> 3[""filter_size_large""]
    3 --> 4[""unique""]
    4 --> 5[""query_shape""]
"
63,"graph LR
    1[""scene""] --> 2[""filter_color_red""]
    2 --> 3[""filter_material_rubber""]
    3 --> 4[""unique""]
    4 --> 14[""relate_in_front""]
    6[""filter_shape_sphere""] --> 7[""unique""]
    7 --> 8[""relate_left""]
    8 --> 16[""filter_material_rubber""]
    9[""unique""] --> 10[""relate_behind""]
    10 --> 11[""filter_shape_cube""]
    11 --> 12[""filter_size_small""]
    12 --> 13[""count""]
    14 --> 6
    16 --> 9
"
