,child,parent,group
0,database_activity_monitoring,database_and_storage_security,10002978_8
1,management_and_querying_of_encrypted_data,database_and_storage_security,10002978_8
2,information_accountability_and_usage_control,database_and_storage_security,10002978_8
3,data_anonymization_and_sanitization,database_and_storage_security,10002978_8
0,network_monitoring,network_management,10003033_7
1,network_management,network_services,10003033_7
2,cloud_computing,network_services,10003033_7
3,programmable_networks,network_services,10003033_7
4,location_based_services,network_services,10003033_7
5,naming_and_addressing,network_services,10003033_7
6,in-network_processing,programmable_networks,10003033_7
0,pair_programming,collaboration_in_software_development,10011007_3
1,programming_teams,collaboration_in_software_development,10011007_3
2,fault_tree_analysis,risk_management,10011007_3
3,software_development_process_management,software_creation_and_management,10011007_3
4,software_design_engineering,software_creation_and_management,10011007_3
5,software_implementation_planning,software_creation_and_management,10011007_3
6,software_version_control,software_creation_and_management,10011007_3
7,documentation,software_creation_and_management,10011007_3
8,collaboration_in_software_development,software_creation_and_management,10011007_3
9,walkthroughs,software_creation_and_management,10011007_3
10,flowcharts,software_creation_and_management,10011007_3
11,software_post-development_issues,software_creation_and_management,10011007_3
12,software_evolution,software_creation_and_management,10011007_3
13,reusability,software_creation_and_management,10011007_3
14,system_administration,software_creation_and_management,10011007_3
15,capability_maturity_model,software_creation_and_management,10011007_3
16,operational_analysis,software_creation_and_management,10011007_3
17,requirements_analysis,software_creation_and_management,10011007_3
18,designing_software,software_design_engineering,10011007_3
19,software_design_techniques,software_design_engineering,10011007_3
20,software_product_lines,software_design_engineering,10011007_3
21,design_patterns,software_design_techniques,10011007_3
22,software_design_tradeoffs,software_design_techniques,10011007_3
23,agile_software_development,software_development_methods,10011007_3
24,waterfall_model,software_development_methods,10011007_3
25,spiral_model,software_development_methods,10011007_3
26,v-model,software_development_methods,10011007_3
27,rapid_application_development,software_development_methods,10011007_3
28,open_source_model,software_development_methods,10011007_3
29,software_development_methods,software_development_process_management,10011007_3
30,software_testing_and_debugging,software_development_process_management,10011007_3
31,risk_management,software_development_process_management,10011007_3
32,traceability,software_development_process_management,10011007_3
33,use_cases,software_development_process_management,10011007_3
34,software_prototyping,software_development_process_management,10011007_3
35,software_defect_analysis,software_development_process_management,10011007_3
36,software_development_techniques,software_development_process_management,10011007_3
37,software_verification_and_validation,software_development_process_management,10011007_3
38,object_oriented_development,software_development_techniques,10011007_3
39,genetic_programming,software_development_techniques,10011007_3
40,automatic_programming,software_development_techniques,10011007_3
41,search-based_software_engineering,software_development_techniques,10011007_3
42,maintaining_software,software_post-development_issues,10011007_3
43,backup_procedures,software_post-development_issues,10011007_3
44,software_reverse_engineering,software_post-development_issues,10011007_3
45,error_handling_and_recovery,software_testing_and_debugging,10011007_3
46,formal_software_verification,software_verification_and_validation,10011007_3
47,empirical_software_validation,software_verification_and_validation,10011007_3
48,acceptance_testing,software_verification_and_validation,10011007_3
49,process_validation,software_verification_and_validation,10011007_3
0,linear_algebra_algorithms,algebraic_algorithms,10010147_1
1,boolean_algebra_algorithms,algebraic_algorithms,10010147_1
2,special-purpose_algebraic_systems,algebraic_algorithms,10010147_1
3,number_theory_algorithms,algebraic_algorithms,10010147_1
4,representation_of_polynomials,representation_of_mathematical_objects,10010147_1
5,representation_of_exact_numbers,representation_of_mathematical_objects,10010147_1
6,representation_of_mathematical_functions,representation_of_mathematical_objects,10010147_1
7,representation_of_boolean_functions,representation_of_mathematical_objects,10010147_1
8,algebraic_algorithms,symbolic_and_algebraic_algorithms,10010147_1
9,exact_arithmetic_algorithms,symbolic_and_algebraic_algorithms,10010147_1
10,symbolic_calculus_algorithms,symbolic_and_algebraic_algorithms,10010147_1
11,discrete_calculus_algorithms,symbolic_and_algebraic_algorithms,10010147_1
12,symbolic_and_algebraic_algorithms,symbolic_and_algebraic_manipulation,10010147_1
13,theorem_proving_algorithms,symbolic_and_algebraic_manipulation,10010147_1
14,equation_and_inequality_solving_algorithms,symbolic_and_algebraic_manipulation,10010147_1
15,nonalgebraic_algorithms,symbolic_and_algebraic_manipulation,10010147_1
16,combinatorial_algorithms,symbolic_and_algebraic_manipulation,10010147_1
17,representation_of_mathematical_objects,symbolic_and_algebraic_manipulation,10010147_1
18,optimization_algorithms,symbolic_and_algebraic_manipulation,10010147_1
19,computer_algebra_systems,symbolic_and_algebraic_manipulation,10010147_1
20,hybrid_symbolic-numeric_methods,symbolic_and_algebraic_manipulation,10010147_1
0,cartography,computers_in_other_domains,10010405_8
1,military,computers_in_other_domains,10010405_8
2,computing_in_government,computers_in_other_domains,10010405_8
3,agriculture,computers_in_other_domains,10010405_8
4,digital_libraries_and_archives,computers_in_other_domains,10010405_8
5,publishing,computers_in_other_domains,10010405_8
6,personal_computers_and_pc_applications,computers_in_other_domains,10010405_8
7,e-government,computing_in_government,10010405_8
8,voting_/_election_technologies,computing_in_government,10010405_8
9,cyberwarfare,military,10010405_8
10,microcomputers,personal_computers_and_pc_applications,10010405_8
11,word_processors,personal_computers_and_pc_applications,10010405_8
12,spreadsheets,personal_computers_and_pc_applications,10010405_8
13,computer_games,personal_computers_and_pc_applications,10010405_8
0,routing_protocols,network_layer_protocols,10003033_2
1,application_layer_protocols,network_protocols,10003033_2
2,transport_protocols,network_protocols,10003033_2
3,session_protocols,network_protocols,10003033_2
4,presentation_protocols,network_protocols,10003033_2
5,network_layer_protocols,network_protocols,10003033_2
6,link-layer_protocols,network_protocols,10003033_2
7,signaling_protocols,network_protocols,10003033_2
8,peer-to-peer_protocols,network_protocols,10003033_2
9,cross-layer_protocols,network_protocols,10003033_2
10,time_synchronization_protocols,network_protocols,10003033_2
11,oam_protocols,network_protocols,10003033_2
12,network_file_system_(nfs)_protocol,network_protocols,10003033_2
13,network_protocol_design,network_protocols,10003033_2
14,protocol_correctness,network_protocols,10003033_2
15,protocol_testing_and_verification,network_protocols,10003033_2
16,network_policy,network_protocols,10003033_2
17,formal_specifications,network_protocols,10003033_2
0,mathematical_foundations_of_cryptography,cryptography,10002978_1
1,symmetric_cryptography_and_hash_functions,cryptography,10002978_1
2,public_key_(asymmetric)_techniques,cryptography,10002978_1
3,information-theoretic_techniques,cryptography,10002978_1
4,cryptanalysis_and_other_attacks,cryptography,10002978_1
5,key_management,cryptography,10002978_1
6,public_key_encryption,public_key_(asymmetric)_techniques,10002978_1
7,digital_signatures,public_key_(asymmetric)_techniques,10002978_1
8,hash_functions_and_message_authentication_codes,symmetric_cryptography_and_hash_functions,10002978_1
9,block_and_stream_ciphers,symmetric_cryptography_and_hash_functions,10002978_1
0,calculus,continuous_mathematics,10002950_5
1,continuous_functions,continuous_mathematics,10002950_5
2,topology,continuous_mathematics,10002950_5
3,geometric_topology,topology,10002950_5
4,algebraic_topology,topology,10002950_5
5,point-set_topology,topology,10002950_5
0,authorization,access_control,10002978_3
1,multi-factor_authentication,authentication,10002978_3
2,graphical_/_visual_passwords,authentication,10002978_3
3,biometrics,authentication,10002978_3
4,"pseudonymity,_anonymity_and_untraceability",privacy-preserving_protocols,10002978_3
5,authentication,security_services,10002978_3
6,access_control,security_services,10002978_3
7,privacy-preserving_protocols,security_services,10002978_3
8,digital_rights_management,security_services,10002978_3
0,wireless_mesh_networks,mesh_networks,10003033_6
1,network_reliability,network_properties,10003033_6
2,network_security,network_properties,10003033_6
3,network_dynamics,network_properties,10003033_6
4,network_manageability,network_properties,10003033_6
5,network_privacy_and_anonymity,network_properties,10003033_6
6,network_mobility,network_properties,10003033_6
7,error_detection_and_error_correction,network_properties,10003033_6
8,fiber_distributed_data_interface_(fddi),network_properties,10003033_6
9,short-range_networks,network_range,10003033_6
10,local_area_networks,network_range,10003033_6
11,metropolitan_area_networks,network_range,10003033_6
12,wide_area_networks,network_range,10003033_6
13,very_long-range_networks,network_range,10003033_6
14,network_topology_types,network_structure,10003033_6
15,network_properties,network_structure,10003033_6
16,network_range,network_structure,10003033_6
17,physical_topologies,network_topology_types,10003033_6
18,logical_/_virtual_topologies,network_topology_types,10003033_6
19,topology_analysis_and_generation,network_topology_types,10003033_6
20,ring_networks,physical_topologies,10003033_6
21,bus_networks,physical_topologies,10003033_6
22,star_networks,physical_topologies,10003033_6
23,point-to-point_networks,physical_topologies,10003033_6
24,mesh_networks,physical_topologies,10003033_6
25,token_ring_networks,physical_topologies,10003033_6
26,hybrid_networks,physical_topologies,10003033_6
0,parsing,program_analysis,10003752_8
1,object_oriented_constructs,program_constructs,10003752_8
2,functional_constructs,program_constructs,10003752_8
3,control_primitives,program_constructs,10003752_8
4,type_structures,program_constructs,10003752_8
5,assertions,program_reasoning,10003752_8
6,invariants,program_reasoning,10003752_8
7,pre-_and_post-conditions,program_reasoning,10003752_8
8,program_verification,program_reasoning,10003752_8
9,operational_semantics,program_semantics,10003752_8
10,denotational_semantics,program_semantics,10003752_8
11,algebraic_semantics,program_semantics,10003752_8
12,axiomatic_semantics,program_semantics,10003752_8
13,action_semantics,program_semantics,10003752_8
14,categorical_semantics,program_semantics,10003752_8
15,semantics_and_reasoning,program_semantics,10003752_8
16,program_analysis,program_semantics,10003752_8
17,program_specifications,program_semantics,10003752_8
18,program_constructs,program_semantics,10003752_8
