,child,parent,group
0,computer-aided_design,architecture_(buildings),10010405_7
1,fine_arts,arts_and_humanities,10010405_7
2,performing_arts,arts_and_humanities,10010405_7
3,language_translation,arts_and_humanities,10010405_7
4,architecture_(buildings),arts_and_humanities,10010405_7
5,media_arts,fine_arts,10010405_7
6,sound_and_music_computing,performing_arts,10010405_7
0,turing_machines,abstract_machines,10003752_1
1,lambda_calculus,abstract_machines,10003752_1
2,recursive_functions,computability,10003752_1
3,abstract_machines,models_of_computation,10003752_1
4,process_calculi,models_of_computation,10003752_1
5,distributed_computing_models,models_of_computation,10003752_1
6,parallel_computing_models,models_of_computation,10003752_1
7,concurrency,models_of_computation,10003752_1
8,computability,models_of_computation,10003752_1
9,probabilistic_computation,models_of_computation,10003752_1
10,interactive_computation,models_of_computation,10003752_1
11,timed_and_hybrid_models,models_of_computation,10003752_1
12,streaming_models,models_of_computation,10003752_1
13,quantum_computation_theory,models_of_computation,10003752_1
14,quantum_complexity_theory,quantum_computation_theory,10003752_1
15,quantum_query_complexity,quantum_computation_theory,10003752_1
16,quantum_information_theory,quantum_computation_theory,10003752_1
17,quantum_communication_complexity,quantum_computation_theory,10003752_1
0,"accessibility_theory,_concepts_and_paradigms",accessibility,10003120_6
1,accessibility_design_and_evaluation_methods,accessibility,10003120_6
2,accessibility_systems_and_tools,accessibility,10003120_6
3,accessibility_technologies,accessibility,10003120_6
4,empirical_studies_in_accessibility,accessibility,10003120_6
0,smartphones,mobile_devices,10003120_4
1,tablet_computers,mobile_devices,10003120_4
2,personal_digital_assistants,mobile_devices,10003120_4
3,e-book_readers,mobile_devices,10003120_4
4,portable_media_players,mobile_devices,10003120_4
5,handheld_game_consoles,mobile_devices,10003120_4
6,ubiquitous_computing,ubiquitous_and_mobile_computing,10003120_4
7,mobile_computing,ubiquitous_and_mobile_computing,10003120_4
8,ubiquitous_and_mobile_devices,ubiquitous_and_mobile_computing,10003120_4
9,ubiquitous_and_mobile_computing_systems_and_tools,ubiquitous_and_mobile_computing,10003120_4
10,empirical_studies_in_ubiquitous_and_mobile_computing,ubiquitous_and_mobile_computing,10003120_4
11,ubiquitous_and_mobile_computing_design_and_evaluation_methods,ubiquitous_and_mobile_computing,10003120_4
12,"ubiquitous_and_mobile_computing_theory,_concepts_and_paradigms",ubiquitous_and_mobile_computing,10003120_4
13,ambient_intelligence,ubiquitous_and_mobile_computing,10003120_4
14,mobile_devices,ubiquitous_and_mobile_devices,10003120_4
0,cryptographic_primitives,computational_complexity_and_cryptography,10003752_3
0,verification_by_model_checking,automated_reasoning,10003752_4
1,type_theory,logic,10003752_4
2,modal_and_temporal_logics,logic,10003752_4
3,linear_logic,logic,10003752_4
4,proof_theory,logic,10003752_4
5,higher_order_logic,logic,10003752_4
6,constraint_and_logic_programming,logic,10003752_4
7,description_logics,logic,10003752_4
8,equational_logic_and_rewriting,logic,10003752_4
9,programming_logic,logic,10003752_4
10,automated_reasoning,logic,10003752_4
11,finite_model_theory,logic,10003752_4
12,logic_and_verification,logic,10003752_4
13,constructive_mathematics,logic,10003752_4
0,"bug_detection,_localization_and_diagnosis",functional_verification,10010583_7
1,simulation_and_emulation,functional_verification,10010583_7
2,assertion_checking,functional_verification,10010583_7
3,model_checking,functional_verification,10010583_7
4,equivalence_checking,functional_verification,10010583_7
5,theorem_proving_and_sat_solving,functional_verification,10010583_7
6,hardware_validation,functional_verification,10010583_7
7,coverage_metrics,functional_verification,10010583_7
8,semi-formal_verification,functional_verification,10010583_7
9,transaction-level_verification,functional_verification,10010583_7
10,post-manufacture_validation_and_debug,functional_verification,10010583_7
11,bug_fixing_(hardware),functional_verification,10010583_7
12,design_for_debug,functional_verification,10010583_7
13,design_rule_checking,hardware_validation,10010583_7
14,layout-versus-schematics,hardware_validation,10010583_7
15,physical_verification,hardware_validation,10010583_7
0,agriculture,computers_in_other_domains,10010405_8
1,computing_in_government,computers_in_other_domains,10010405_8
2,digital_libraries_and_archives,computers_in_other_domains,10010405_8
3,personal_computers_and_pc_applications,computers_in_other_domains,10010405_8
4,publishing,computers_in_other_domains,10010405_8
5,military,computers_in_other_domains,10010405_8
6,e-government,computing_in_government,10010405_8
7,cyberwarfare,computing_in_government,10010405_8
8,cartography,computing_in_government,10010405_8
9,word_processors,personal_computers_and_pc_applications,10010405_8
10,spreadsheets,personal_computers_and_pc_applications,10010405_8
11,microcomputers,personal_computers_and_pc_applications,10010405_8
12,computer_games,personal_computers_and_pc_applications,10010405_8
0,procedural_animation,animation,10010147_6
1,motion_capture,animation,10010147_6
2,motion_processing,animation,10010147_6
3,graphics_systems_and_interfaces,computer_graphics,10010147_6
4,graphics_processors,computer_graphics,10010147_6
5,rendering,computer_graphics,10010147_6
6,animation,computer_graphics,10010147_6
7,shape_modeling,computer_graphics,10010147_6
8,shape_analysis,computer_graphics,10010147_6
9,collision_detection,computer_graphics,10010147_6
10,image_processing,computer_graphics,10010147_6
11,virtual_reality,computer_graphics,10010147_6
12,mixed_/_augmented_reality,computer_graphics,10010147_6
13,graphics_input_devices,computer_graphics,10010147_6
14,graphics_file_formats,computer_graphics,10010147_6
15,perception,computer_graphics,10010147_6
16,reflectance_modeling,computer_graphics,10010147_6
17,visibility,computer_graphics,10010147_6
18,texturing,image_processing,10010147_6
19,ray_tracing,rendering,10010147_6
20,rasterization,rendering,10010147_6
21,non-photorealistic_rendering,rendering,10010147_6
22,antialiasing,rendering,10010147_6
0,wireless_access_networks,network_types,10003033_8
1,data_center_networks,network_types,10003033_8
2,world_wide_web_(network_structure),network_types,10003033_8
3,ad_hoc_networks,network_types,10003033_8
4,packet-switching_networks,network_types,10003033_8
5,overlay_and_other_logical_network_structures,network_types,10003033_8
6,storage_area_networks,network_types,10003033_8
7,public_internet,network_types,10003033_8
8,network_on_chip,network_types,10003033_8
9,online_social_networks,network_types,10003033_8
10,peer-to-peer_networks,network_types,10003033_8
11,wired_access_networks,network_types,10003033_8
12,mobile_networks,network_types,10003033_8
13,cyber-physical_networks,network_types,10003033_8
14,home_networks,network_types,10003033_8
0,digital_signal_processing,signal_processing_systems,10010583_2
1,noise_reduction,signal_processing_systems,10010583_2
0,visualization_design_and_evaluation_methods,visualization,10003120_5
1,visualization_systems_and_tools,visualization,10003120_5
2,visualization_techniques,visualization,10003120_5
3,information_visualization,visualization,10003120_5
4,scientific_visualization,visualization,10003120_5
5,"visualization_theory,_concepts_and_paradigms",visualization,10003120_5
6,empirical_studies_in_visualization,visualization,10003120_5
7,visualization_application_domains,visualization,10003120_5
8,visual_analytics,visualization,10003120_5
9,graph_drawings,visualization_techniques,10003120_5
10,dendrograms,visualization_techniques,10003120_5
11,treemaps,visualization_techniques,10003120_5
12,heat_maps,visualization_techniques,10003120_5
13,hyperbolic_trees,visualization_techniques,10003120_5
0,user_studies,hci_design_and_evaluation_methods,10003120_1
1,usability_testing,hci_design_and_evaluation_methods,10003120_1
2,heuristic_evaluations,hci_design_and_evaluation_methods,10003120_1
3,walkthrough_evaluations,hci_design_and_evaluation_methods,10003120_1
4,hci_design_and_evaluation_methods,human_computer_interaction_(hci),10003120_1
5,"hci_theory,_concepts_and_models",human_computer_interaction_(hci),10003120_1
6,interaction_paradigms,human_computer_interaction_(hci),10003120_1
7,mixed_/_augmented_reality,human_computer_interaction_(hci),10003120_1
8,virtual_reality,human_computer_interaction_(hci),10003120_1
9,collaborative_interaction,human_computer_interaction_(hci),10003120_1
10,web-based_interaction,human_computer_interaction_(hci),10003120_1
