,group,child,parent
0,10,influence,manipulation
1,10,enticement,influence
2,10,ingratiation,influence
3,10,solicitation,influence
4,10,seduction,manipulation
5,10,hypnotism,manipulation
6,10,blandishment,influence
7,10,mind game,manipulation
8,10,impingement,manipulation
9,10,leading astray,manipulation
10,10,cross-pollination,influence
11,10,exposure,manipulation
12,10,overexposure,exposure
13,10,underexposure,exposure
14,101,tent,shelter
15,101,backpacking tent,tent
16,101,pup tent,tent
17,101,fly tent,tent
18,101,two-man tent,tent
19,101,field tent,tent
20,101,mountain tent,tent
21,101,canvas tent,tent
22,101,bell tent,tent
23,101,Sibley tent,tent
24,101,pyramidal tent,tent
25,101,umbrella tent,tent
26,101,circus tent,tent
27,101,pop tent,tent
28,101,cottage tent,tent
29,101,cabana,tent
30,101,pavilion,tent
31,101,hut,shelter
32,101,Nissen hut,hut
33,101,dugout,hut
34,101,mudhif,hut
35,101,hovel,hut
36,101,safehold,hut
37,101,safe house,hut
38,101,refuge,hut
39,101,haven,hut
40,101,storm cellar,hut
41,101,fallout shelter,hut
42,101,praetorium,hut
43,101,cookhouse,hut
44,101,loft,shelter
45,101,sconce,shelter
46,105,drum,percussion instrument
47,105,snare drum,drum
48,105,tenor drum,drum
49,105,bass drum,drum
50,105,bongo,drum
51,105,tabor,drum
52,105,tambour,drum
53,105,tambourine,drum
54,105,steel drum,drum
55,105,high-hat cymbal,drum
56,105,timbrel,drum
57,105,mallet percussion instrument,percussion instrument
58,105,vibraphone,mallet percussion instrument
59,105,marimba,mallet percussion instrument
60,105,glockenspiel,mallet percussion instrument
61,105,chime,mallet percussion instrument
62,105,other percussion instruments,percussion instrument
63,105,gong,other percussion instruments
64,105,rain stick,other percussion instruments
65,105,lagerphone,other percussion instruments
66,105,bones,other percussion instruments
67,105,maraca,other percussion instruments
68,105,triangle,other percussion instruments
69,105,handbell,other percussion instruments
70,105,zill,other percussion instruments
71,105,piano,musical instrument
72,105,grand piano,piano
73,105,baby grand,grand piano
74,105,concert grand,grand piano
75,105,spinet,piano
76,105,mechanical piano,piano
77,105,upright,piano
78,13,Weight,Mechanical Properties
79,13,Modulus,Mechanical Properties
80,13,Young's Modulus,Modulus
81,13,Bulk Modulus,Modulus
82,13,Modulus of Rigidity,Modulus
83,13,Coefficient,Mechanical Properties
84,13,Drag Coefficient,Coefficient
85,13,Coefficient of Expansion,Coefficient
86,13,Coefficient of Elasticity,Coefficient
87,13,Coefficient of Reflection,Coefficient
88,13,Absorption Coefficient,Coefficient
89,13,Coefficient of Mutual Induction,Coefficient
90,13,Coefficient of Self Induction,Coefficient
91,13,Coefficient of Friction,Coefficient
92,13,Coefficient of Viscosity,Coefficient
93,13,Transmittance,Coefficient
94,137,iron deficiency anemia,anemia
95,137,sickle-cell anemia,anemia
96,137,aplastic anemia,anemia
97,137,thalassemia,anemia
98,137,pernicious anemia,anemia
99,137,macrocytic anemia,anemia
100,137,microcytic anemia,anemia
101,137,hypochromic anemia,anemia
102,137,hyperchromic anemia,anemia
103,137,refractory anemia,anemia
104,137,megaloblastic anemia,anemia
105,137,hemolytic anemia,anemia
106,137,sideroblastic anemia,anemia
107,137,favism,anemia
108,137,erythroblastosis fetalis,anemia
109,137,ischemic stroke,ischemia
110,137,transient ischemic attack,ischemia
111,138,marital status,marriage
112,138,bachelorhood,marital status
113,138,spinsterhood,marital status
114,138,widowhood,marital status
115,138,monogamy,marriage
116,138,serial monogamy,monogamy
117,138,monogyny,monogamy
118,138,monandry,monogamy
119,138,polygamy,marriage
120,138,polyandry,polygamy
121,138,polygyny,polygamy
122,138,bigamy,marriage
123,138,sigeh,marriage
124,138,civil union,marriage
125,138,common-law marriage,marriage
126,138,open marriage,marriage
127,138,marriage of convenience,marriage
128,138,endogamy,marriage
129,138,exogamy,marriage
130,138,cuckoldom,marriage
131,138,misalliance,marriage
132,138,mesalliance,marriage
133,15,air travel,flight
134,15,sortie,flight
135,15,overflight,flight
136,15,maiden flight,flight
137,15,solo,flight
138,15,glide,flight
139,15,blind flying,flight
140,15,terrain flight,flight
141,15,tailspin,flight
142,15,acrobatics,flight
143,15,hang gliding,flight
144,15,ballooning,flight
145,15,parasailing,flight
146,15,flyover,flight
147,15,pass,flight
148,150,wit,joke
149,150,sarcasm,wit
150,150,pungency,wit
151,150,banter,joke
152,150,repartee,joke
153,150,parody,joke
154,150,pun,joke
155,150,one-liner,joke
156,150,dirty joke,joke
157,150,sick joke,joke
158,150,ethnic joke,joke
159,150,funny story,joke
160,150,comic strip,joke
161,150,cartoon,comic strip
162,150,caricature,cartoon
163,150,belly laugh,joke
164,150,drollery,joke
165,150,jocosity,joke
166,150,waggery,joke
167,150,topper,joke
168,150,mock-heroic,joke
169,150,shaggy dog story,joke
170,150,in-joke,joke
171,150,sight gag,joke
172,150,fun,joke
173,17,higher education,education
174,17,continuing education,education
175,17,adult education,continuing education
176,17,refresher course,continuing education
177,17,extension course,continuing education
178,17,correspondence course,continuing education
179,17,elementary education,education
180,17,secondary education,education
181,17,elective course,education
182,17,art class,elective course
183,17,shop class,elective course
184,17,athletics,elective course
185,17,dramatics,elective course
186,17,life class,elective course
187,17,childbirth-preparation class,elective course
188,17,extracurricular activity,education
189,17,workshop,education
190,17,seminar,education
191,17,orientation course,education
192,17,work-study program,education
193,17,directed study,education
194,17,team teaching,education
195,17,course of lectures,education
196,17,course,education
197,17,required course,course
198,17,extension,education
199,171,woodpecker,piciform bird
200,171,downy woodpecker,woodpecker
201,171,wryneck,woodpecker
202,171,ivorybill,woodpecker
203,171,redheaded woodpecker,woodpecker
204,171,flicker,woodpecker
205,171,red-shafted flicker,flicker
206,171,yellow-shafted flicker,flicker
207,171,yellow-bellied sapsucker,woodpecker
208,171,red-breasted sapsucker,woodpecker
209,171,sapsucker,woodpecker
210,171,toucan,piciform bird
211,171,toucanet,toucan
212,171,jacamar,piciform bird
213,171,puffbird,piciform bird
214,171,barbet,piciform bird
215,171,honey guide,piciform bird
216,177,great auk,auk
217,177,little auk,auk
218,177,razorbill,auk
219,177,auklet,auk
220,177,guillemot,auk
221,177,common murre,guillemot
222,177,murre,guillemot
223,177,thick-billed murre,murre
224,177,pigeon guillemot,guillemot
225,177,black guillemot,guillemot
226,180,crab apple,apple
227,180,Oregon crab apple,crab apple
228,180,Iowa crab,crab apple
229,180,apple tree,apple
230,180,wild apple,apple
231,180,Siberian crab,crab apple
232,180,American crab apple,crab apple
233,180,wild crab,crab apple
234,180,Southern crab apple,crab apple
235,180,Bechtel crab,crab apple
236,184,initiation,beginning
237,184,activation,initiation
238,184,induction,initiation
239,184,induction of labor,induction
240,184,kickoff,initiation
241,184,icebreaker,kickoff
242,184,jump ball,kickoff
243,184,tip-off,kickoff
244,184,face-off,kickoff
245,184,first step,kickoff
246,184,groundbreaking,initiation
