,child,parent,group
0,collaborative_and_social_computing_systems_and_tools,collaborative_and_social_computing,10003120_3
1,"collaborative_and_social_computing_theory,_concepts_and_paradigms",collaborative_and_social_computing,10003120_3
2,computer_supported_cooperative_work,collaborative_and_social_computing,10003120_3
3,social_media,collaborative_and_social_computing,10003120_3
4,social_navigation,collaborative_and_social_computing,10003120_3
5,collaborative_content_creation,collaborative_and_social_computing,10003120_3
6,ethnographic_studies,collaborative_and_social_computing,10003120_3
7,empirical_studies_in_collaborative_and_social_computing,collaborative_and_social_computing,10003120_3
8,social_engineering_(social_sciences),collaborative_and_social_computing,10003120_3
9,collaborative_and_social_computing_design_and_evaluation_methods,collaborative_and_social_computing,10003120_3
10,social_tagging,collaborative_and_social_computing,10003120_3
11,collaborative_filtering,collaborative_and_social_computing,10003120_3
12,social_networks,collaborative_and_social_computing,10003120_3
13,social_recommendation,collaborative_and_social_computing,10003120_3
14,collaborative_and_social_computing_devices,collaborative_and_social_computing,10003120_3
15,social_content_sharing,social_media,10003120_3
16,social_network_analysis,social_networks,10003120_3
0,software_tools_for_eda,electronic_design_automation,10010583_6
1,physical_design_(eda),electronic_design_automation,10010583_6
2,timing_analysis,electronic_design_automation,10010583_6
3,methodologies_for_eda,electronic_design_automation,10010583_6
4,logic_synthesis,electronic_design_automation,10010583_6
5,model-order_reduction,electronic_design_automation,10010583_6
6,electrical-level_simulation,electronic_design_automation,10010583_6
7,transistor-level_synthesis,logic_synthesis,10010583_6
8,combinational_synthesis,logic_synthesis,10010583_6
9,sequential_synthesis,logic_synthesis,10010583_6
10,high-level_and_register-transfer_level_synthesis,logic_synthesis,10010583_6
11,best_practices_for_eda,methodologies_for_eda,10010583_6
12,design_databases_for_eda,methodologies_for_eda,10010583_6
13,circuit_optimization,methodologies_for_eda,10010583_6
14,datapath_optimization,methodologies_for_eda,10010583_6
15,resource_binding_and_sharing,methodologies_for_eda,10010583_6
16,modeling_and_parameter_extraction,methodologies_for_eda,10010583_6
17,hardware_description_languages_and_compilation,methodologies_for_eda,10010583_6
18,compact_delay_models,methodologies_for_eda,10010583_6
19,hardware-software_codesign,methodologies_for_eda,10010583_6
20,operations_scheduling,methodologies_for_eda,10010583_6
21,placement,physical_design_(eda),10010583_6
22,wire_routing,physical_design_(eda),10010583_6
23,packaging,physical_design_(eda),10010583_6
24,partitioning_and_floorplanning,physical_design_(eda),10010583_6
25,clock-network_synthesis,physical_design_(eda),10010583_6
26,power_grid_design,physical_design_(eda),10010583_6
27,physical_synthesis,physical_design_(eda),10010583_6
28,technology-mapping,physical_design_(eda),10010583_6
29,static_timing_analysis,timing_analysis,10010583_6
30,statistical_timing_analysis,timing_analysis,10010583_6
31,transition-based_timing_analysis,timing_analysis,10010583_6
0,smartphones,mobile_devices,10003120_4
1,tablet_computers,mobile_devices,10003120_4
2,e-book_readers,mobile_devices,10003120_4
3,portable_media_players,mobile_devices,10003120_4
4,handheld_game_consoles,mobile_devices,10003120_4
5,ubiquitous_computing,ubiquitous_and_mobile_computing,10003120_4
6,"ubiquitous_and_mobile_computing_theory,_concepts_and_paradigms",ubiquitous_and_mobile_computing,10003120_4
7,ubiquitous_and_mobile_computing_design_and_evaluation_methods,ubiquitous_and_mobile_computing,10003120_4
8,empirical_studies_in_ubiquitous_and_mobile_computing,ubiquitous_and_mobile_computing,10003120_4
9,ambient_intelligence,ubiquitous_and_mobile_computing,10003120_4
10,mobile_computing,ubiquitous_and_mobile_computing,10003120_4
11,ubiquitous_and_mobile_computing_systems_and_tools,ubiquitous_and_mobile_computing,10003120_4
12,mobile_devices,ubiquitous_and_mobile_computing,10003120_4
13,interactive_whiteboards,ubiquitous_and_mobile_computing,10003120_4
14,ubiquitous_and_mobile_devices,ubiquitous_and_mobile_computing_systems_and_tools,10003120_4
15,mobile_phones,ubiquitous_and_mobile_devices,10003120_4
16,personal_digital_assistants,ubiquitous_and_mobile_devices,10003120_4
0,parallel_algorithms,parallel_computing_methodologies,10010147_2
1,parallel_programming_languages,parallel_computing_methodologies,10010147_2
0,linear_algebra_algorithms,algebraic_algorithms,10010147_1
1,boolean_algebra_algorithms,algebraic_algorithms,10010147_1
2,theorem_proving_algorithms,algebraic_algorithms,10010147_1
3,algebraic_algorithms,computer_algebra_systems,10010147_1
4,representation_of_mathematical_objects,computer_algebra_systems,10010147_1
5,symbolic_and_algebraic_manipulation,computer_algebra_systems,10010147_1
6,symbolic_and_algebraic_algorithms,computer_algebra_systems,10010147_1
7,exact_arithmetic_algorithms,computer_algebra_systems,10010147_1
8,equation_and_inequality_solving_algorithms,computer_algebra_systems,10010147_1
9,nonalgebraic_algorithms,computer_algebra_systems,10010147_1
10,optimization_algorithms,computer_algebra_systems,10010147_1
11,hybrid_symbolic-numeric_methods,computer_algebra_systems,10010147_1
12,discrete_calculus_algorithms,computer_algebra_systems,10010147_1
13,combinatorial_algorithms,computer_algebra_systems,10010147_1
14,number_theory_algorithms,computer_algebra_systems,10010147_1
15,special-purpose_algebraic_systems,computer_algebra_systems,10010147_1
16,representation_of_mathematical_functions,representation_of_mathematical_objects,10010147_1
17,representation_of_polynomials,representation_of_mathematical_objects,10010147_1
18,representation_of_exact_numbers,representation_of_mathematical_objects,10010147_1
19,representation_of_boolean_functions,representation_of_mathematical_objects,10010147_1
20,symbolic_calculus_algorithms,symbolic_and_algebraic_algorithms,10010147_1
0,intrusion_detection_systems,malware_and_its_mitigation,10002978_4
1,intrusion/anomaly_detection_and_malware_mitigation,malware_and_its_mitigation,10002978_4
2,social_engineering_attacks,malware_and_its_mitigation,10002978_4
3,phishing,malware_and_its_mitigation,10002978_4
4,spoofing_attacks,malware_and_its_mitigation,10002978_4
5,artificial_immune_systems,malware_and_its_mitigation,10002978_4
0,network_design_principles,network_architectures,10003033_1
1,layering,network_architectures,10003033_1
2,naming_and_addressing,network_architectures,10003033_1
3,programming_interfaces,network_architectures,10003033_1
0,complexity_classes,complexity_theory_and_logic,10003752_3
1,"problems,_reductions_and_completeness",complexity_theory_and_logic,10003752_3
2,computational_complexity_and_cryptography,complexity_theory_and_logic,10003752_3
3,oracles_and_decision_trees,complexity_theory_and_logic,10003752_3
4,interactive_proof_systems,complexity_theory_and_logic,10003752_3
5,communication_complexity,complexity_theory_and_logic,10003752_3
6,circuit_complexity,complexity_theory_and_logic,10003752_3
7,algebraic_complexity_theory,complexity_theory_and_logic,10003752_3
8,quantum_complexity_theory,complexity_theory_and_logic,10003752_3
9,proof_complexity,complexity_theory_and_logic,10003752_3
10,cryptographic_protocols,computational_complexity_and_cryptography,10003752_3
11,cryptographic_primitives,computational_complexity_and_cryptography,10003752_3
0,developmental_representations,approximation,10002950_4
1,differential_calculus,calculus,10002950_4
2,mathematical_analysis,calculus,10002950_4
3,partial_differential_equations,differential_equations,10002950_4
4,ordinary_differential_equations,differential_equations,10002950_4
5,differential_algebraic_equations,differential_equations,10002950_4
6,differential_variational_inequalities,differential_equations,10002950_4
7,differential_equations,mathematical_analysis,10002950_4
8,functional_analysis,mathematical_analysis,10002950_4
9,integral_equations,mathematical_analysis,10002950_4
10,numerical_analysis,mathematical_analysis,10002950_4
11,approximation,mathematical_analysis,10002950_4
12,linear_programming,mathematical_optimization,10002950_4
13,integer_programming,mathematical_optimization,10002950_4
14,quadratic_programming,mathematical_optimization,10002950_4
15,semidefinite_programming,mathematical_optimization,10002950_4
16,nonlinear_equations,mathematical_optimization,10002950_4
