,child,parent,group
0,liter,metric_capacity_unit,514
1,cubic_kilometer,metric_capacity_unit,514
2,kiloliter,metric_capacity_unit,514
3,hectoliter,metric_capacity_unit,514
4,milliliter,metric_capacity_unit,514
5,centiliter,metric_capacity_unit,514
6,deciliter,metric_capacity_unit,514
7,dekaliter,metric_capacity_unit,514
8,cubic_millimeter,metric_capacity_unit,514
9,key,metric_capacity_unit,514
10,angstrom,metric_linear_unit,514
11,femtometer,metric_linear_unit,514
12,picometer,metric_linear_unit,514
13,nanometer,metric_linear_unit,514
14,micron,metric_linear_unit,514
15,millimeter,metric_linear_unit,514
16,centimeter,metric_linear_unit,514
17,decimeter,metric_linear_unit,514
18,meter,metric_linear_unit,514
19,hectometer,metric_linear_unit,514
20,kilometer,metric_linear_unit,514
21,myriameter,metric_linear_unit,514
22,decameter,metric_linear_unit,514
23,metric_weight_unit,metric_unit,514
24,metric_capacity_unit,metric_unit,514
25,metric_linear_unit,metric_unit,514
26,gram,metric_weight_unit,514
27,kilogram,metric_weight_unit,514
28,metric_ton,metric_weight_unit,514
29,myriagram,metric_weight_unit,514
30,milligram,metric_weight_unit,514
31,dekagram,metric_weight_unit,514
32,hectogram,metric_weight_unit,514
33,carat,metric_weight_unit,514
34,quintal,metric_weight_unit,514
35,hundredweight,metric_weight_unit,514
36,centner,metric_weight_unit,514
37,microgram,metric_weight_unit,514
38,nanogram,metric_weight_unit,514
39,gram_molecule,metric_weight_unit,514
40,gram_atom,metric_weight_unit,514
41,decigram,metric_weight_unit,514
42,grain,metric_weight_unit,514
0,bacchante,bacchant,515
1,dalai_lama,lama,515
2,panchen_lama,lama,515
3,bacchant,magus,515
4,hoodoo,medicine_man,515
5,vestal_virgin,priest,515
6,flamen,priest,515
7,votary,priest,515
8,druid,priest,515
9,rhea_silvia,priest,515
10,lama,priest,515
11,magus,priest,515
12,shaman,priest,515
13,ezra,priest,515
14,medicine_man,shaman,515
15,rainmaker,shaman,515
0,product-moment_correlation_coefficient,correlation_coefficient,5
1,tau_coefficient_of_correlation,correlation_coefficient,5
2,biserial_correlation_coefficient,correlation_coefficient,5
3,tetrachoric_correlation_coefficient,correlation_coefficient,5
4,rank-order_correlation_coefficient,correlation_coefficient,5
5,phi_coefficient,correlation_coefficient,5
6,split-half_correlation,correlation_coefficient,5
7,age_norm,demographic,5
8,mean_deviation,deviation,5
9,arithmetic_mean,mean,5
10,geometric_mean,mean,5
11,harmonic_mean,mean,5
12,second_moment,moment,5
13,mode,nonparametric_statistic,5
14,kendall_test,nonparametric_statistic,5
15,kendall_partial_rank_correlation,nonparametric_statistic,5
16,coefficient_of_concordance,nonparametric_statistic,5
17,regression_coefficient,parametric_statistic,5
18,variance,parametric_statistic,5
19,mean,parametric_statistic,5
20,median,parametric_statistic,5
21,multiple_correlation_coefficient,parametric_statistic,5
22,standard_deviation,parametric_statistic,5
23,correlation_coefficient,statistic,5
24,parametric_statistic,statistic,5
25,time_series,statistic,5
26,demographic,statistic,5
27,vital_statistics,statistic,5
28,nonparametric_statistic,statistic,5
29,outlier,statistic,5
30,deviation,statistic,5
31,covariance,statistic,5
32,moment,statistic,5
33,average,statistic,5
0,reel,country-dance,8
1,square_dance,country-dance,8
2,longways,country-dance,8
3,promenade,country-dance,8
4,eightsome,country-dance,8
5,landler,country-dance,8
6,lancers,country-dance,8
7,virginia_reel,reel,8
8,highland_fling,reel,8
9,do-si-do,square_dance,8
10,quadrille,square_dance,8
11,sashay,square_dance,8
12,swing,square_dance,8
0,heroin_addict,addict,9
1,opium_addict,addict,9
2,speed_freak,addict,9
3,caffeine_addict,addict,9
4,crack_addict,addict,9
5,cocaine_addict,addict,9
6,drug_addict,addict,9
7,withdrawer,addict,9
8,pill_head,drug_addict,9
9,tripper,drug_user,9
10,addict,drug_user,9
11,head,drug_user,9
12,pothead,head,9
13,hash_head,head,9
14,acid_head,head,9
0,overexposure,exposure,10
1,underexposure,exposure,10
2,ingratiation,influence,10
3,exposure,influence,10
4,leading_astray,influence,10
5,manipulation,influence,10
6,enticement,influence,10
7,blandishment,influence,10
8,seduction,influence,10
9,cross-pollination,influence,10
10,impingement,influence,10
11,solicitation,influence,10
12,hypnotism,influence,10
13,mind_game,manipulation,10
0,transmittance,coefficient,13
1,coefficient_of_reflection,coefficient,13
2,coefficient_of_viscosity,coefficient,13
3,coefficient_of_mutual_induction,coefficient,13
4,coefficient_of_self_induction,coefficient,13
5,coefficient_of_expansion,coefficient,13
6,coefficient_of_friction,coefficient,13
7,coefficient_of_elasticity,coefficient,13
8,drag_coefficient,coefficient,13
9,modulus,coefficient,13
10,absorption_coefficient,coefficient,13
11,weight,coefficient,13
12,young's_modulus,modulus,13
13,bulk_modulus,modulus,13
14,modulus_of_rigidity,modulus,13
0,diet,abstinence,525
1,chastity,abstinence,525
2,sobriety,abstinence,525
3,asceticism,abstinence,525
4,inhibition,abstinence,525
5,self-denial,abstinence,525
6,fast,abstinence,525
7,teetotaling,abstinence,525
8,sawm,fast,525
9,hunger_strike,fast,525
10,ramadan,fast,525
11,mortification,self-denial,525
0,flyover,air_travel,15
1,hang_gliding,flight,15
2,ballooning,flight,15
3,parasailing,flight,15
4,acrobatics,flight,15
5,solo,flight,15
6,overflight,flight,15
7,terrain_flight,flight,15
8,glide,flight,15
9,blind_flying,flight,15
10,tailspin,flight,15
11,pass,flight,15
12,sortie,flight,15
13,air_travel,flight,15
14,maiden_flight,flight,15
0,elective_course,course,17
1,required_course,course,17
2,seminar,course,17
3,extension_course,course,17
4,correspondence_course,course,17
5,refresher_course,course,17
6,workshop,course,17
7,course_of_lectures,course,17
8,shop_class,course,17
9,industrial_arts,course,17
10,life_class,course,17
11,art_class,course,17
12,home_study,course,17
13,directed_study,course,17
14,childbirth-preparation_class,course,17
15,orientation_course,course,17
16,propaedeutic,course,17
17,team_teaching,course,17
18,elementary_education,education,17
19,secondary_education,education,17
20,higher_education,education,17
21,adult_education,education,17
22,course,education,17
23,extracurricular_activity,education,17
24,work-study_program,education,17
25,coeducation,education,17
26,extension,education,17
27,continuing_education,education,17
28,athletics,extracurricular_activity,17
29,dramatics,extracurricular_activity,17
0,petit_larceny,larceny,531
1,grand_larceny,larceny,531
2,shoplifting,larceny,531
3,pilferage,larceny,531
4,breach_of_trust_with_fraudulent_intent,larceny,531
5,plunderage,larceny,531
6,highjacking,larceny,531
7,robbery,larceny,531
8,piracy,larceny,531
9,skimming,larceny,531
10,rustling,larceny,531
11,embezzlement,larceny,531
12,rolling,larceny,531
13,biopiracy,larceny,531
14,dacoity,larceny,531
15,highway_robbery,robbery,531
16,armed_robbery,robbery,531
17,caper,robbery,531
18,heist,robbery,531
19,raid,robbery,531
0,accused,defendant,532
1,codefendant,defendant,532
2,defendant,litigant,532
3,plaintiff,litigant,532
4,respondent,litigant,532
5,appellant,litigant,532
6,prevailing_party,litigant,532
7,corespondent,litigant,532
8,filer,plaintiff,532
9,suer,plaintiff,532
0,compatibility,compassion,535
1,mellowness,compassion,535
2,forgiveness,compassion,535
3,sympathy,compassion,535
4,empathy,compassion,535
5,solicitude,compassion,535
6,kindheartedness,compassion,535
7,softheartedness,compassion,535
8,concern,compassion,535
9,tenderness,compassion,535
10,heartstrings,empathy,535
11,mercifulness,kindheartedness,535
12,commiseration,sympathy,535
0,true_marmoset,marmoset,24
1,pygmy_marmoset,marmoset,24
2,howler_monkey,new_world_monkey,24
3,uakari,new_world_monkey,24
4,tamarin,new_world_monkey,24
5,squirrel_monkey,new_world_monkey,24
6,marmoset,new_world_monkey,24
7,capuchin,new_world_monkey,24
8,saki,new_world_monkey,24
9,spider_monkey,new_world_monkey,24
10,titi,new_world_monkey,24
11,woolly_monkey,new_world_monkey,24
12,pinche,tamarin,24
13,silky_tamarin,tamarin,24
14,douroucouli,titi,24
