,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Permutations and combinations,Combinatorics
2,10002950_1,Generating functions,Combinatorics
3,10002950_1,Combinatorics on words,Combinatorics
4,10002950_1,Enumeration,Combinatorics
5,10002950_1,Combinatorial algorithms,Combinatorics
6,10002950_1,Combinatorial optimization,Combinatorics
7,10002950_1,Combinatoric problems,Combinatorics
8,10002950_1,Graph theory,Discrete mathematics
9,10002950_1,Graph algorithms,Graph theory
10,10002950_1,Graph enumeration,Graph theory
11,10002950_1,Random graphs,Graph theory
12,10002950_1,Graphs and surfaces,Graph theory
13,10002950_1,Graph coloring,Graph theory
14,10002950_1,Hypergraphs,Graph theory
15,10002950_1,Trees,Graph theory
16,10002950_1,Extremal graph theory,Graph theory
17,10002950_1,Spectra of graphs,Graph theory
18,10002950_1,Matchings and factors,Graph theory
19,10002950_1,Paths and connectivity problems,Graph theory
20,10002950_1,Matroids and greedoids,Discrete mathematics
21,10002950_1,Approximation algorithms,Discrete mathematics
22,10002950_1,Network flows,Discrete mathematics
23,10002950_4,Continuous optimization,Mathematical optimization
24,10002950_4,Convex optimization,Continuous optimization
25,10002950_4,Nonconvex optimization,Continuous optimization
26,10002950_4,Semidefinite programming,Convex optimization
27,10002950_4,Quasiconvex programming and unimodality,Continuous optimization
28,10002950_4,Quadratic programming,Convex optimization
29,10002950_4,Stochastic control and optimization,Continuous optimization
30,10002950_4,Discrete optimization,Mathematical optimization
31,10002950_4,Integer programming,Discrete optimization
32,10002950_4,Linear programming,Discrete optimization
33,10002950_4,Network optimization,Discrete optimization
34,10002950_4,Mixed discrete-continuous optimization,Discrete optimization
35,10002950_4,Optimization with randomized search heuristics,Mathematical optimization
36,10002950_4,Simulated annealing,Optimization with randomized search heuristics
37,10002950_4,Tabu search,Optimization with randomized search heuristics
38,10002950_4,Randomized local search,Optimization with randomized search heuristics
39,10002950_4,Bio-inspired optimization,Optimization with randomized search heuristics
40,10002950_4,Evolutionary algorithms,Bio-inspired optimization
41,10002950_4,Genetic programming,Evolutionary algorithms
42,10002950_4,Mathematical analysis,Mathematical optimization
43,10002950_4,Calculus,Mathematical analysis
44,10002950_4,Differential calculus,Calculus
45,10002950_4,Integral calculus,Calculus
46,10002950_4,Numerical analysis,Mathematical analysis
47,10002950_4,Numerical differentiation,Numerical analysis
48,10002950_4,Quadrature,Numerical analysis
49,10002950_4,Interpolation,Numerical analysis
50,10002950_4,Approximation,Numerical analysis
51,10002950_4,Discretization,Numerical analysis
52,10002950_4,Automatic differentiation,Numerical analysis
53,10002950_4,Interval arithmetic,Numerical analysis
54,10002950_4,Arbitrary-precision arithmetic,Numerical analysis
55,10002950_4,Mesh generation,Numerical analysis
56,10002950_4,Computation of transforms,Numerical analysis
57,10002950_4,Functional analysis,Mathematical analysis
58,10002950_4,Differential equations,Mathematical analysis
59,10002950_4,Ordinary differential equations,Differential equations
60,10002950_4,Partial differential equations,Differential equations
61,10002950_4,Differential algebraic equations,Differential equations
62,10002950_4,Differential variational inequalities,Differential equations
63,10002950_4,Computations on matrices,Mathematical analysis
64,10002950_4,Computations on polynomials,Mathematical analysis
65,10002950_4,Gröbner bases and other special bases,Computations on polynomials
66,10002950_4,Number-theoretic computations,Mathematical analysis
67,10002950_4,Computations in finite fields,Number-theoretic computations
68,10002950_4,Non-parametric optimization,Mathematical optimization
69,10002950_4,Nonlinear equations,Mathematical analysis
70,10002950_4,Integral equations,Mathematical analysis
71,10002950_4,Lambda calculus,Mathematical analysis
72,10002950_4,Developmental representations,Mathematical optimization
73,10002950_5,Topology,Continuous mathematics
74,10002950_5,Calculus,Continuous mathematics
75,10002950_5,Algebraic topology,Topology
76,10002950_5,Geometric topology,Topology
77,10002950_5,Point-set topology,Topology
78,10002950_5,Continuous functions,Calculus
79,10002951_3,Enterprise information systems,Information systems applications
80,10002951_3,Enterprise resource planning,Enterprise information systems
81,10002951_3,Enterprise applications,Enterprise information systems
82,10002951_3,Intranets,Enterprise information systems
83,10002951_3,Extranets,Enterprise information systems
84,10002951_3,Data management systems,Information systems applications
85,10002951_3,Data warehouses,Data management systems
86,10002951_3,Data streaming,Data management systems
87,10002951_3,Data stream mining,Data streaming
88,10002951_3,Data cleaning,Data management systems
89,10002951_3,Data analytics,Data management systems
90,10002951_3,Online analytical processing,Data analytics
91,10002951_3,Data mining,Data analytics
92,10002951_3,Clustering,Data mining
93,10002951_3,Association rules,Data mining
94,10002951_3,Nearest-neighbor search,Data mining
95,10002951_3,Multimedia information systems,Information systems applications
96,10002951_3,Multimedia databases,Multimedia information systems
97,10002951_3,Multimedia streaming,Multimedia information systems
98,10002951_3,Multimedia content creation,Multimedia information systems
99,10002951_3,Geographic information systems,Information systems applications
100,10002951_3,Spatial-temporal systems,Geographic information systems
