,group,child,parent
0,10,manipulation,influence
1,10,exposure,influence
2,10,enticement,influence
3,10,seduction,influence
4,10,ingratiation,manipulation
5,10,mind game,manipulation
6,10,blandishment,manipulation
7,10,hypnotism,manipulation
8,10,overexposure,exposure
9,10,underexposure,exposure
10,10,impingement,exposure
11,10,solicitation,enticement
12,10,cross-pollination,enticement
13,10,leading astray,influence
14,101,tent,shelter
15,101,hut,shelter
16,101,hovel,shelter
17,101,cottage,shelter
18,101,pavilion,shelter
19,101,refuge,shelter
20,101,haven,shelter
21,101,harbor,shelter
22,101,backpacking tent,tent
23,101,canvas tent,tent
24,101,fly tent,tent
25,101,wall tent,tent
26,101,bell tent,tent
27,101,pyramidal tent,tent
28,101,lean-to tent,tent
29,101,field tent,tent
30,101,pop tent,tent
31,101,Sibley tent,tent
32,101,pup tent,tent
33,101,two-man tent,tent
34,101,mountain tent,tent
35,101,umbrella tent,tent
36,101,cabana,tent
37,101,circus tent,tent
38,101,tepee,tent
39,101,tupik,tent
40,101,Nissen hut,hut
41,101,mudhif,hut
42,101,igloo,shelter
43,101,dugout,shelter
44,101,storm cellar,shelter
45,101,safehold,shelter
46,101,safe house,shelter
47,101,fallout shelter,shelter
48,101,cookhouse,shelter
49,101,mantelet,shelter
50,101,praetorium,shelter
51,105,drum,percussion instrument
52,105,cymbal,percussion instrument
53,105,xylophone,percussion instrument
54,105,bell,percussion instrument
55,105,piano,percussion instrument
56,105,tambourine,percussion instrument
57,105,timbrel,percussion instrument
58,105,tabor,percussion instrument
59,105,zill,percussion instrument
60,105,maraca,percussion instrument
61,105,rain stick,percussion instrument
62,105,bones,percussion instrument
63,105,bass drum,drum
64,105,snare drum,drum
65,105,tenor drum,drum
66,105,bongo,drum
67,105,steel drum,drum
68,105,high-hat cymbal,cymbal
69,105,gong,cymbal
70,105,triangle,cymbal
71,105,marimba,xylophone
72,105,vibraphone,xylophone
73,105,glockenspiel,xylophone
74,105,chime,xylophone
75,105,lagerphone,marimba
76,105,handbell,bell
77,105,carillon,bell
78,105,upright,piano
79,105,baby grand,piano
80,105,grand piano,piano
81,105,concert grand,piano
82,105,spinet,piano
83,105,mechanical piano,piano
84,105,tambour,percussion instrument
85,13,coefficient of friction,coefficient
86,13,coefficient of viscosity,coefficient
87,13,coefficient of elasticity,coefficient
88,13,coefficient of expansion,coefficient
89,13,drag coefficient,coefficient
90,13,coefficient of mutual induction,coefficient
91,13,coefficient of self induction,coefficient
92,13,coefficient of reflection,coefficient
93,13,transmittance,coefficient
94,13,absorption coefficient,coefficient
95,13,Young's modulus,coefficient of elasticity
96,13,bulk modulus,coefficient of elasticity
97,13,bulk modulus,modulus
98,13,modulus of rigidity,modulus
99,137,microcytic anemia,anemia
100,137,macrocytic anemia,anemia
101,137,hypochromic anemia,anemia
102,137,sickle-cell anemia,anemia
103,137,thalassemia,anemia
104,137,aplastic anemia,anemia
105,137,Fanconi's anemia,anemia
106,137,Cooley's anemia,anemia
107,137,chlorosis,anemia
108,137,erythroblastosis fetalis,anemia
109,137,hemolytic anemia,anemia
110,137,metaplastic anemia,anemia
111,137,iron deficiency anemia,microcytic anemia
112,137,sideroblastic anemia,microcytic anemia
113,137,megaloblastic anemia,macrocytic anemia
114,137,pernicious anemia,macrocytic anemia
115,137,ischemic stroke,ischemia
116,137,transient ischemic attack,ischemia
117,138,marriage,marital status
118,138,civil union,marital status
119,138,bachelorhood,marital status
120,138,spinsterhood,marital status
121,138,widowhood,marital status
122,138,monogamy,marriage
123,138,polygamy,marriage
124,138,open marriage,marriage
125,138,marriage of convenience,marriage
126,138,common-law marriage,marriage
127,138,sigeh,marriage
128,138,monandry,monogamy
129,138,monogyny,monogamy
130,138,serial monogamy,monogamy
131,138,polygyny,polygamy
132,138,polyandry,polygamy
133,138,bigamy,polygamy
134,138,misalliance,marriage
135,138,mesalliance,marriage
136,138,cuckoldom,marriage
137,138,exogamy,marriage
138,138,endogamy,marriage
139,15,air travel,flight
140,15,ballooning,flight
141,15,glide,flight
142,15,acrobatics,flight
143,15,sortie,flight
144,15,flyover,flight
145,15,terrain flight,flight
146,15,solo,air travel
147,15,maiden flight,air travel
148,15,hang gliding,glide
149,15,tailspin,acrobatics
150,15,pass,flyover
151,15,overflight,flyover
152,15,parasailing,flight
153,15,blind flying,flight
154,150,joke,wit
155,150,banter,wit
156,150,parody,wit
157,150,caricature,wit
158,150,comic strip,wit
159,150,pungency,wit
160,150,jocosity,wit
161,150,one-liner,joke
162,150,shaggy dog story,joke
163,150,sick joke,joke
164,150,dirty joke,joke
165,150,ethnic joke,joke
166,150,in-joke,joke
167,150,badinage,banter
168,150,persiflage,banter
169,150,repartee,banter
170,150,cartoon,comic strip
171,150,funny story,comic strip
172,150,sight gag,comic strip
173,150,toon,comic strip
174,150,bon mot,wit
175,150,ribaldry,wit
176,150,esprit de l'escalier,wit
177,150,jeu d'esprit,wit
178,150,waggery,wit
179,150,drollery,wit
180,150,mock-heroic,parody
181,150,sarcastic,pungency
182,150,belly laugh,joke
183,17,elementary education,education
184,17,secondary education,education
185,17,higher education,education
186,17,adult education,education
187,17,continuing education,education
188,17,course,education
189,17,art class,course
190,17,dramatics,course
191,17,industrial arts,course
192,17,shop class,course
193,17,athletics,course
194,17,elective course,course
195,17,required course,course
196,17,extension course,course
197,17,correspondence course,course
198,17,home study,course
199,17,work-study program,course
200,17,seminar,course
201,17,workshop,course
202,17,orientation course,course
203,17,refresher course,course
204,17,course of lectures,course
205,17,coeducation,education
206,17,team teaching,education
207,17,extracurricular activity,education
208,17,life class,course
209,17,childbirth-preparation class,course
210,17,propaedeutic,course
211,17,directed study,course
212,17,extension,education
213,171,jacamar,piciform bird
214,171,puffbird,piciform bird
215,171,honey guide,piciform bird
216,171,woodpecker,piciform bird
217,171,barbet,woodpecker
218,171,toucan,woodpecker
219,171,toucanet,woodpecker
220,171,wryneck,woodpecker
221,171,green woodpecker,woodpecker
222,171,downy woodpecker,woodpecker
223,171,redheaded woodpecker,woodpecker
224,171,ivorybill,woodpecker
225,171,sapsucker,woodpecker
226,171,red-breasted sapsucker,sapsucker
227,171,yellow-bellied sapsucker,sapsucker
228,171,flicker,woodpecker
229,171,yellow-shafted flicker,flicker
230,171,red-shafted flicker,flicker
231,171,gilded flicker,flicker
232,171,piculet,woodpecker
233,177,auklet,auk
234,177,guillemot,auk
235,177,murre,auk
236,177,razorbill,auk
237,177,little auk,auklet
238,177,black guillemot,guillemot
239,177,pigeon guillemot,guillemot
240,177,thick-billed murre,murre
241,177,common murre,murre
242,177,great auk,auk
243,180,apple tree,apple
244,180,wild apple,apple
245,180,crab apple,wild apple
246,180,American crab apple,crab apple
247,180,Siberian crab,crab apple
248,180,Iowa crab,crab apple
249,180,Oregon crab apple,crab apple
250,180,Southern crab apple,crab apple
251,180,wild crab,crab apple
252,180,Bechtel crab,crab apple
253,184,creation,initiation
254,184,introduction,initiation
255,184,induction,initiation
256,184,inauguration,initiation
257,184,activation,initiation
258,184,authorship,creation
259,184,population,creation
260,184,product introduction,introduction
261,184,housing start,introduction
262,184,first step,introduction
263,184,induction of labor,induction
264,184,hypnogenesis,induction
265,184,installation,inauguration
266,184,naturalization,inauguration
267,184,kickoff,activation
268,184,tip-off,activation
269,184,face-off,activation
270,184,jump ball,activation
271,184,communization,initiation
272,184,colonization,initiation
273,184,federation,initiation
274,184,unionization,initiation
275,184,collectivization,initiation
276,184,groundbreaking,initiation
277,184,springboard,initiation
278,184,icebreaker,initiation
279,184,curtain raiser,initiation
280,184,scrum,initiation
281,193,progymnosperm,gymnosperm
282,193,cycad,gymnosperm
283,193,seed fern,gymnosperm
284,193,welwitschia,gymnosperm
285,193,macrozamia,cycad
286,193,dioon,cycad
287,193,coontie,cycad
288,193,ceratozamia,cycad
289,193,zamia,cycad
290,193,encephalartos,cycad
291,193,sago palm,cycad
292,193,false sago,cycad
293,193,kaffir bread,encephalartos
294,193,burrawong,cycad
295,198,terror,terrorism
296,198,domestic terrorism,terrorism
297,198,international terrorism,terrorism
