,child,parent,group
0,file_system_security,operating_systems_security,10002978_6
1,distributed_systems_security,systems_security,10002978_6
2,operating_systems_security,systems_security,10002978_6
3,vulnerability_management,systems_security,10002978_6
4,browser_security,systems_security,10002978_6
5,mobile_platform_security,systems_security,10002978_6
6,trusted_computing,systems_security,10002978_6
7,virtualization_and_security,systems_security,10002978_6
8,information_flow_control,systems_security,10002978_6
9,firewalls,systems_security,10002978_6
10,denial-of-service_attacks,systems_security,10002978_6
11,penetration_testing,systems_security,10002978_6
12,vulnerability_scanners,vulnerability_management,10002978_6
0,complexity_classes,complexity_theory_and_logic,10003752_3
1,"problems,_reductions_and_completeness",complexity_theory_and_logic,10003752_3
2,algebraic_complexity_theory,complexity_theory_and_logic,10003752_3
3,communication_complexity,complexity_theory_and_logic,10003752_3
4,computational_complexity_and_cryptography,complexity_theory_and_logic,10003752_3
5,proof_complexity,complexity_theory_and_logic,10003752_3
6,interactive_proof_systems,complexity_theory_and_logic,10003752_3
7,oracles_and_decision_trees,complexity_theory_and_logic,10003752_3
8,quantum_complexity_theory,complexity_theory_and_logic,10003752_3
9,circuit_complexity,complexity_theory_and_logic,10003752_3
10,cryptographic_protocols,computational_complexity_and_cryptography,10003752_3
11,cryptographic_primitives,computational_complexity_and_cryptography,10003752_3
0,procedural_animation,animation,10010147_6
1,motion_capture,animation,10010147_6
2,motion_processing,animation,10010147_6
3,graphics_systems_and_interfaces,computer_graphics,10010147_6
4,rendering,computer_graphics,10010147_6
5,shape_modeling,computer_graphics,10010147_6
6,animation,computer_graphics,10010147_6
7,image_processing,computer_graphics,10010147_6
8,virtual_reality,computer_graphics,10010147_6
9,physical_simulation,computer_graphics,10010147_6
10,graphics_file_formats,computer_graphics,10010147_6
11,graphics_input_devices,computer_graphics,10010147_6
12,perception,computer_graphics,10010147_6
13,visibility,computer_graphics,10010147_6
14,collision_detection,computer_graphics,10010147_6
15,reflectance_modeling,computer_graphics,10010147_6
16,computational_photography,computer_graphics,10010147_6
17,mixed_/_augmented_reality,computer_graphics,10010147_6
18,image_manipulation,computer_graphics,10010147_6
19,shape_analysis,computer_graphics,10010147_6
20,mesh_geometry_models,computer_graphics,10010147_6
21,graphics_processors,graphics_systems_and_interfaces,10010147_6
22,image_compression,image_processing,10010147_6
23,image-based_rendering,rendering,10010147_6
24,ray_tracing,rendering,10010147_6
25,rasterization,rendering,10010147_6
26,non-photorealistic_rendering,rendering,10010147_6
27,antialiasing,rendering,10010147_6
28,texturing,rendering,10010147_6
29,mesh_models,shape_modeling,10010147_6
30,parametric_curve_and_surface_models,shape_modeling,10010147_6
31,point-based_models,shape_modeling,10010147_6
32,volumetric_models,shape_modeling,10010147_6
0,analog_and_mixed-signal_circuit_synthesis,analog_and_mixed-signal_circuits,10010583_4
1,analog_and_mixed-signal_circuit_optimization,analog_and_mixed-signal_circuits,10010583_4
2,vlsi_design_manufacturing_considerations,very_large_scale_integration_design,10010583_4
3,application_specific_integrated_circuits,very_large_scale_integration_design,10010583_4
4,standard_cell_libraries,very_large_scale_integration_design,10010583_4
5,design_rules,very_large_scale_integration_design,10010583_4
6,input_/_output_styles,very_large_scale_integration_design,10010583_4
7,design_reuse_and_communication-based_design,very_large_scale_integration_design,10010583_4
8,vlsi_packaging,very_large_scale_integration_design,10010583_4
9,on-chip_resource_management,very_large_scale_integration_design,10010583_4
10,platform-based_design,very_large_scale_integration_design,10010583_4
11,economics_of_chip_design_and_manufacturing,very_large_scale_integration_design,10010583_4
12,radio_frequency_and_wireless_circuits,very_large_scale_integration_design,10010583_4
13,multi-chip_modules,very_large_scale_integration_design,10010583_4
14,system_on_a_chip,very_large_scale_integration_design,10010583_4
15,network_on_chip,very_large_scale_integration_design,10010583_4
16,analog_and_mixed-signal_circuits,very_large_scale_integration_design,10010583_4
17,clock_generation_and_timing,very_large_scale_integration_design,10010583_4
18,data_conversion,very_large_scale_integration_design,10010583_4
19,die_and_wafer_stacking,very_large_scale_integration_design,10010583_4
