,child,parent,group
0,presentation_protocols,network_protocols,10003033_2
1,session_protocols,network_protocols,10003033_2
2,network_layer_protocols,network_protocols,10003033_2
3,link-layer_protocols,network_protocols,10003033_2
4,application_layer_protocols,network_protocols,10003033_2
5,transport_protocols,network_protocols,10003033_2
6,signaling_protocols,network_protocols,10003033_2
7,network_protocol_design,network_protocols,10003033_2
8,cross-layer_protocols,network_protocols,10003033_2
9,peer-to-peer_protocols,network_protocols,10003033_2
10,network_file_system_(nfs)_protocol,network_protocols,10003033_2
11,formal_specifications,network_protocols,10003033_2
12,protocol_correctness,network_protocols,10003033_2
13,protocol_testing_and_verification,network_protocols,10003033_2
14,time_synchronization_protocols,network_protocols,10003033_2
15,routing_protocols,network_protocols,10003033_2
0,visualization_systems_and_tools,visualization,10003120_5
1,visualization_application_domains,visualization,10003120_5
2,visualization_design_and_evaluation_methods,visualization,10003120_5
3,visualization_techniques,visualization,10003120_5
4,visualization_toolkits,visualization,10003120_5
5,scientific_visualization,visualization,10003120_5
6,information_visualization,visualization,10003120_5
7,empirical_studies_in_visualization,visualization,10003120_5
8,geographic_visualization,visualization,10003120_5
9,heat_maps,visualization_techniques,10003120_5
10,graph_drawings,visualization_techniques,10003120_5
11,dendrograms,visualization_techniques,10003120_5
12,cladograms,visualization_techniques,10003120_5
13,treemaps,visualization_techniques,10003120_5
14,hyperbolic_trees,visualization_techniques,10003120_5
0,permutations_and_combinations,combinatorics,10002950_1
1,trees,combinatorics,10002950_1
2,generating_functions,combinatorics,10002950_1
3,combinatoric_problems,combinatorics,10002950_1
4,combinatorics,discrete_mathematics,10002950_1
5,graph_theory,discrete_mathematics,10002950_1
6,combinatorial_algorithms,graph_theory,10002950_1
7,graph_enumeration,graph_theory,10002950_1
8,spectra_of_graphs,graph_theory,10002950_1
9,graph_algorithms,graph_theory,10002950_1
10,extremal_graph_theory,graph_theory,10002950_1
11,matchings_and_factors,graph_theory,10002950_1
12,paths_and_connectivity_problems,graph_theory,10002950_1
13,graph_coloring,graph_theory,10002950_1
14,graphs_and_surfaces,graph_theory,10002950_1
15,matroids_and_greedoids,graph_theory,10002950_1
16,approximation_algorithms,graph_theory,10002950_1
17,hypergraphs,graph_theory,10002950_1
0,layering,network_architectures,10003033_1
1,network_design_principles,network_architectures,10003033_1
2,programming_interfaces,network_architectures,10003033_1
3,naming_and_addressing,network_architectures,10003033_1
0,systems_and_tools_for_interaction_design,interaction_design,10003120_2
1,interaction_design_process_and_methods,interaction_design,10003120_2
2,wireframes,interaction_design,10003120_2
3,interface_design_prototyping,interaction_design,10003120_2
4,user_centered_design,interaction_design,10003120_2
5,participatory_design,interaction_design,10003120_2
6,activity_centered_design,interaction_design,10003120_2
7,scenario-based_design,interaction_design,10003120_2
8,contextual_design,interaction_design,10003120_2
9,user_interface_design,interaction_design,10003120_2
10,empirical_studies_in_interaction_design,interaction_design,10003120_2
0,ethnography,anthropology,10010405_5
1,ethnography,sociology,10010405_5
0,pcb_design_and_layout,printed_circuit_boards,10010583_1
1,electromagnetic_interference_and_compatibility,printed_circuit_boards,10010583_1
0,enterprise_architecture_frameworks,enterprise_architectures,10010405_2
1,enterprise_architecture_modeling,enterprise_architectures,10010405_2
2,reference_models,enterprise_architectures,10010405_2
3,it_governance,enterprise_architectures,10010405_2
4,enterprise_computing_infrastructures,enterprise_architectures,10010405_2
5,enterprise_data_management,enterprise_architectures,10010405_2
6,business_process_management_systems,enterprise_architectures,10010405_2
7,enterprise_application_integration,enterprise_architectures,10010405_2
8,business_process_management,enterprise_architectures,10010405_2
9,business_process_monitoring,enterprise_architectures,10010405_2
10,business_rules,enterprise_architectures,10010405_2
11,business_intelligence,enterprise_architectures,10010405_2
12,information_integration_and_interoperability,enterprise_architectures,10010405_2
13,enterprise_interoperability,enterprise_architectures,10010405_2
14,enterprise_information_systems,enterprise_architectures,10010405_2
15,enterprise_computing,enterprise_architectures,10010405_2
16,it_architectures,enterprise_architectures,10010405_2
17,cross-organizational_business_processes,enterprise_architectures,10010405_2
18,business_process_modeling,enterprise_architectures,10010405_2
19,business-it_alignment,enterprise_architectures,10010405_2
20,event-driven_architectures,enterprise_architectures,10010405_2
21,service-oriented_architectures,enterprise_architectures,10010405_2
22,enterprise_architecture_management,enterprise_architectures,10010405_2
0,grammars_and_context-free_languages,formal_languages_and_automata_theory,10003752_2
1,algebraic_language_theory,formal_languages_and_automata_theory,10003752_2
2,tree_languages,formal_languages_and_automata_theory,10003752_2
3,formalisms,formal_languages_and_automata_theory,10003752_2
4,automata_extensions,formal_languages_and_automata_theory,10003752_2
5,automata_over_infinite_objects,formal_languages_and_automata_theory,10003752_2
6,quantitative_automata,formal_languages_and_automata_theory,10003752_2
7,rewrite_systems,formal_languages_and_automata_theory,10003752_2
8,transducers,formal_languages_and_automata_theory,10003752_2
9,regular_languages,formal_languages_and_automata_theory,10003752_2
0,concurrent_programming_languages,concurrent_computing_methodologies,10010147_8
1,concurrent_algorithms,concurrent_computing_methodologies,10010147_8
0,physical_links,network_components,10003033_3
1,routers,network_components,10003033_3
2,repeaters,network_components,10003033_3
3,logical_nodes,network_components,10003033_3
4,intermediate_nodes,network_components,10003033_3
5,bridges_and_switches,network_components,10003033_3
6,middle_boxes_/_network_appliances,network_components,10003033_3
7,"wireless_access_points,_base_stations_and_infrastructure",network_components,10003033_3
8,network_servers,network_components,10003033_3
9,end_nodes,network_components,10003033_3
10,network_domains,network_components,10003033_3
11,network_adapters,network_components,10003033_3
12,cognitive_radios,network_components,10003033_3
0,calculus,continuous_mathematics,10002950_5
1,continuous_functions,continuous_mathematics,10002950_5
2,algebraic_topology,continuous_mathematics,10002950_5
3,topology,continuous_mathematics,10002950_5
4,geometric_topology,topology,10002950_5
5,point-set_topology,topology,10002950_5
0,procedural_animation,animation,10010147_6
1,graphics_systems_and_interfaces,computer_graphics,10010147_6
2,graphics_file_formats,computer_graphics,10010147_6
3,graphics_input_devices,computer_graphics,10010147_6
4,volumetric_models,computer_graphics,10010147_6
5,image_compression,computer_graphics,10010147_6
6,rendering,computer_graphics,10010147_6
7,parametric_curve_and_surface_models,computer_graphics,10010147_6
8,mixed_/_augmented_reality,computer_graphics,10010147_6
9,virtual_reality,computer_graphics,10010147_6
10,motion_capture,computer_graphics,10010147_6
11,animation,computer_graphics,10010147_6
12,physical_simulation,computer_graphics,10010147_6
13,texturing,computer_graphics,10010147_6
14,reflectance_modeling,computer_graphics,10010147_6
15,perception,computer_graphics,10010147_6
16,graphics_processors,graphics_systems_and_interfaces,10010147_6
17,image_manipulation,image_processing,10010147_6
18,image_compression,image_processing,10010147_6
19,computational_photography,image_processing,10010147_6
20,point-based_models,mesh_models,10010147_6
21,parametric_curve_and_surface_models,mesh_models,10010147_6
22,mesh_geometry_models,mesh_models,10010147_6
23,shape_modeling,mesh_models,10010147_6
24,motion_processing,motion_capture,10010147_6
25,collision_detection,motion_capture,10010147_6
26,image-based_rendering,rendering,10010147_6
27,ray_tracing,rendering,10010147_6
28,non-photorealistic_rendering,rendering,10010147_6
29,antialiasing,rendering,10010147_6
30,visibility,rendering,10010147_6
31,shape_analysis,shape_modeling,10010147_6
0,agriculture,computers_in_other_domains,10010405_8
1,e-government,computers_in_other_domains,10010405_8
2,digital_libraries_and_archives,computers_in_other_domains,10010405_8
3,cyberwarfare,computers_in_other_domains,10010405_8
