,0
0,"graph LR
    1[""scene""] --> 2[""filter_color_gray""]
    2 --> 3[""unique""]
    3 --> 4[""same_material""]
    4 --> 5[""filter_shape_cube""]
    5 --> 6[""filter_shape_sphere""]
    6 --> 7[""filter_shape_cylinder""]
    7 --> 8[""count""]
"
1,"graph LR
    1[""scene""] --> 2[""filter_size_large""]
    1 --> 5[""filter_color_gray""]
    2 --> 3[""filter_color_cyan""]
    3 --> 4[""unique""]
    4 --> 8[""relate_left""]
    5 --> 6[""unique""]
    6 --> 7[""relate_behind""]
    7 --> 9[""And""]
    8 --> 9
    9 --> 10[""filter_material_rubber""]
    10 --> 11[""exist""]
"
2,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 6[""filter_size_small""]
    2 --> 3[""filter_material_metal""]
    3 --> 4[""unique""]
    4 --> 5[""same_color""]
    5 --> 8[""And""]
    6 --> 7[""filter_shape_sphere""]
    7 --> 8
    8 --> 9[""count""]
"
3,"graph LR
    1[""scene""] --> 2[""filter_color_green""]
    2 --> 3[""unique""]
    3 --> 4[""relate_right""]
    4 --> 5[""filter_color_red""]
    4 --> 7[""filter_material_metal""]
    5 --> 6[""filter_material_rubber""]
    6 --> 8[""OR""]
    7 --> 8
    8 --> 9[""count""]
"
4,"graph LR
"
5,"graph LR
    1[""scene""] --> 2[""filter_color_brown""]
"
6,"graph LR
    1[""scene""] --> 8[""filter_size_small""]
    8 --> 9[""filter_shape_sphere""]
    9 --> 10[""unique""]
    10 --> 12[""query_color""]
"
7,"graph LR
"
8,"graph LR
    1[""scene""] --> 5[""filter_size_small""]
    5 --> 6[""filter_material_metal""]
    6 --> 7[""unique""]
    7 --> 11[""equal_color""]
"
9,"graph LR
    1[""scene""] --> 2[""filter_size_small""]
    1 --> 6[""filter_material_rubber""]
    2 --> 3[""filter_color_brown""]
    3 --> 4[""filter_material_metal""]
    4 --> 5[""count""]
    5 --> 8[""less_than""]
    6 --> 7[""count""]
    7 --> 8
"
